Location_key,Region_name,District,Population_density,Terrain_type,Distance_to_water
92,East Region,Kadey,348.67,Plains,14.53
93,East Region,Lom-et-Djerem,252.41,Forest,2.69
94,West Region,Nde,354.2,Coastal,3.2
95,Northwest Region,Ngo-Ketunjia,161.47,Mountainous,10.15
96,West Region,Bamboutos,369.14,Coastal,3.52
97,Littoral Region,Nkam,410.25,Plains,2.22
98,Far North Region,Mayo-Kani,236.86,Plains,13.79
99,West Region,Mifi,373.94,Mountainous,16.51
100,East Region,Lom-et-Djerem,82.06,Plains,11.11
101,Northwest Region,Donga-Mantung,175.81,Coastal,19.62
102,Southwest Region,Fako,283.92,Forest,5.08
103,Far North Region,Mayo-Tsanaga,337.25,Plains,5.67
104,Centre Region,Mbam-et-Kim,477.82,Forest,15.17
105,East Region,Kadey,158.93,Mountainous,16.9
106,Adamawa Region,Faro-et-Deo,335.85,Plains,11.15
107,Centre Region,Nyong-et-Kelle,482.87,Plains,3.38
108,East Region,Haut-Nyong,107.25,Coastal,16.46
109,Adamawa Region,Vina,332.96,Coastal,7.04
110,West Region,Haut-Nkam,377.38,Plains,10.46
111,West Region,Menoua,262.4,Forest,9.99
112,Littoral Region,Wouri,66.71,Coastal,17.94
113,East Region,Haut-Nyong,187.56,Mountainous,16.43
114,Adamawa Region,Mayo-Banyo,462.66,Forest,2.42
115,Southwest Region,Ndian,50.78,Plains,5.45
116,South Region,Mvila,477.16,Forest,1.72
117,East Region,Haut-Nyong,464.11,Mountainous,10.58
118,Littoral Region,Moungo,206.03,Coastal,1.38
119,Far North Region,Mayo-Kani,493.94,Plains,13.27
120,East Region,Boumba-et-Ngoko,241.66,Mountainous,0.81
121,Littoral Region,Wouri,210.72,Mountainous,8.88
122,Northwest Region,Momo,317.84,Plains,10.56
123,Southwest Region,Meme,63.76,Forest,12.59
124,Northwest Region,Bui,443.84,Coastal,0.33
125,Littoral Region,Wouri,215.97,Plains,19.15
126,Far North Region,Diamare,383.32,Coastal,5.31
127,East Region,Lom-et-Djerem,161.14,Mountainous,16.34
128,Adamawa Region,Faro-et-Deo,409.22,Mountainous,6.09
129,East Region,Lom-et-Djerem,133.27,Mountainous,11.15
130,Adamawa Region,Mayo-Banyo,332.65,Forest,5.95
131,South Region,Dja-et-Lobo,451.43,Forest,9.47
132,Littoral Region,Wouri,310.52,Coastal,17.46
133,West Region,Mifi,90.9,Forest,5.11
134,Southwest Region,Ndian,169.91,Plains,18.02
135,Centre Region,Lekie,331.12,Mountainous,13.33
136,Southwest Region,Kupe-Manenguba,296.17,Forest,3.66
137,Centre Region,Nyong-et-Kelle,214.16,Coastal,19.98
138,Far North Region,Diamare,462.09,Forest,10.0
139,East Region,Haut-Nyong,202.16,Coastal,0.23
140,Adamawa Region,Mbere,482.49,Coastal,15.13
141,North Region,Benoue,476.19,Plains,16.84
142,Far North Region,Mayo-Kani,462.47,Coastal,3.74
143,Far North Region,Mayo-Tsanaga,396.98,Coastal,3.66
144,Adamawa Region,Mbere,426.41,Plains,5.73
145,Littoral Region,Nkam,485.95,Coastal,16.0
146,Southwest Region,Ndian,448.52,Coastal,4.78
147,North Region,Mayo-Louti,118.24,Mountainous,3.04
148,South Region,Mvila,337.9,Mountainous,16.01
149,Northwest Region,Mezam,100.12,Coastal,8.01
150,Northwest Region,Bui,85.42,Plains,13.84
151,West Region,Mifi,423.67,Forest,6.21
152,Centre Region,Haute-Sanaga,433.69,Mountainous,7.07
153,Littoral Region,Sanaga-Maritime,241.92,Coastal,19.7
154,Adamawa Region,Djerem,260.97,Mountainous,11.53
155,Littoral Region,Wouri,255.21,Coastal,12.35
156,Centre Region,Nyong-et-Kelle,318.49,Mountainous,7.99
157,Far North Region,Mayo-Kani,410.65,Mountainous,17.03
158,Centre Region,Mbam-et-Kim,453.84,Coastal,7.26
159,Far North Region,Mayo-Danay,355.4,Plains,1.35
160,Southwest Region,Lebialem,141.25,Mountainous,9.72
161,Far North Region,Mayo-Tsanaga,157.91,Plains,12.88
162,North Region,Mayo-Rey,76.55,Coastal,3.56
163,North Region,Benoue,428.27,Mountainous,8.44
164,Adamawa Region,Vina,322.26,Plains,5.27
165,Southwest Region,Ndian,111.56,Plains,9.86
166,West Region,Bamboutos,370.1,Plains,19.76
167,Adamawa Region,Vina,128.14,Coastal,13.46
168,Littoral Region,Moungo,398.29,Mountainous,9.71
169,Southwest Region,Fako,301.59,Plains,9.2
170,Adamawa Region,Mayo-Banyo,148.0,Plains,1.12
171,Northwest Region,Ngo-Ketunjia,297.21,Mountainous,17.59
172,Southwest Region,Kupe-Manenguba,51.87,Forest,4.07
173,Centre Region,Mfoundi,167.59,Coastal,5.79
174,Northwest Region,Momo,220.73,Mountainous,4.66
175,Northwest Region,Ngo-Ketunjia,94.83,Mountainous,14.44
176,Centre Region,Mfoundi,104.19,Forest,2.44
177,South Region,Vallee-du-Ntem,256.6,Plains,7.42
178,South Region,Vallee-du-Ntem,460.62,Forest,16.45
179,Far North Region,Diamare,273.54,Plains,14.16
180,Far North Region,Mayo-Kani,301.87,Plains,12.02
181,North Region,Mayo-Rey,457.3,Plains,18.4
182,Adamawa Region,Faro-et-Deo,259.05,Plains,0.64
183,Southwest Region,Ndian,484.63,Plains,7.29
184,North Region,Faro,126.87,Mountainous,1.07
185,Adamawa Region,Vina,494.98,Mountainous,12.66
186,Adamawa Region,Vina,143.06,Coastal,2.5
187,North Region,Mayo-Louti,142.3,Plains,8.78
188,Far North Region,Diamare,384.09,Plains,12.17
189,North Region,Mayo-Rey,358.25,Coastal,17.68
190,Far North Region,Mayo-Danay,229.15,Forest,8.47
191,South Region,Dja-et-Lobo,204.5,Coastal,3.04
192,West Region,Menoua,165.65,Mountainous,8.43
193,West Region,Menoua,323.12,Coastal,0.84
194,Northwest Region,Ngo-Ketunjia,269.37,Mountainous,11.26
195,Northwest Region,Ngo-Ketunjia,178.71,Forest,14.93
196,Centre Region,Nyong-et-Kelle,190.41,Plains,2.82
197,Centre Region,Lekie,124.01,Forest,0.58
198,West Region,Haut-Nkam,65.5,Plains,16.38
199,Littoral Region,Moungo,199.97,Forest,11.09
200,Adamawa Region,Mayo-Banyo,461.0,Mountainous,18.16
201,Far North Region,Mayo-Danay,53.83,Plains,10.77
202,South Region,Vallee-du-Ntem,154.63,Coastal,2.73
203,Far North Region,Mayo-Tsanaga,249.63,Mountainous,5.71
204,Littoral Region,Moungo,370.43,Coastal,7.49
205,West Region,Haut-Nkam,51.86,Coastal,10.97
206,Northwest Region,Bui,138.16,Mountainous,10.85
207,North Region,Mayo-Louti,429.61,Plains,11.38
208,Southwest Region,Ndian,158.68,Coastal,0.1
209,Southwest Region,Fako,200.58,Mountainous,2.85
210,West Region,Mifi,151.46,Forest,12.43
211,Far North Region,Diamare,161.28,Coastal,12.64
212,North Region,Mayo-Louti,339.67,Coastal,2.52
213,West Region,Bamboutos,331.34,Plains,14.26
214,Centre Region,Mfoundi,62.7,Forest,15.62
215,North Region,Benoue,261.34,Mountainous,17.33
216,East Region,Lom-et-Djerem,485.92,Plains,10.93
217,Southwest Region,Lebialem,142.72,Plains,2.34
218,South Region,Vallee-du-Ntem,73.44,Coastal,6.04
219,West Region,Bamboutos,415.49,Plains,19.02
220,South Region,Dja-et-Lobo,361.54,Plains,9.62
221,North Region,Faro,248.93,Coastal,9.27
222,Littoral Region,Wouri,122.88,Plains,16.46
223,Northwest Region,Ngo-Ketunjia,60.9,Plains,12.37
224,South Region,Mvila,412.24,Mountainous,8.36
225,Centre Region,Nyong-et-Kelle,121.53,Mountainous,10.01
226,Southwest Region,Ndian,219.9,Forest,5.54
227,West Region,Menoua,50.95,Coastal,10.7
228,Northwest Region,Bui,311.61,Coastal,1.43
229,Far North Region,Mayo-Sava,392.81,Mountainous,9.1
230,Littoral Region,Sanaga-Maritime,224.95,Mountainous,19.98
231,Adamawa Region,Djerem,112.96,Plains,19.37
232,Northwest Region,Momo,379.56,Mountainous,17.24
233,East Region,Kadey,237.41,Plains,1.28
234,Adamawa Region,Djerem,369.34,Mountainous,15.92
235,Adamawa Region,Faro-et-Deo,477.99,Coastal,2.65
236,West Region,Mifi,451.31,Coastal,11.88
237,Adamawa Region,Mbere,490.77,Plains,8.03
238,East Region,Haut-Nyong,288.98,Coastal,0.55
239,North Region,Faro,104.44,Plains,18.96
240,East Region,Boumba-et-Ngoko,189.62,Forest,14.28
241,East Region,Lom-et-Djerem,395.51,Coastal,11.51
242,Far North Region,Diamare,377.41,Plains,8.51
243,West Region,Mifi,281.19,Mountainous,11.96
244,Littoral Region,Sanaga-Maritime,482.7,Forest,18.38
245,Adamawa Region,Mbere,185.27,Coastal,14.37
246,Far North Region,Diamare,163.84,Plains,11.36
247,Littoral Region,Moungo,439.56,Coastal,8.37
248,South Region,Vallee-du-Ntem,361.46,Mountainous,12.85
249,Southwest Region,Fako,205.19,Mountainous,9.53
250,North Region,Mayo-Rey,64.8,Mountainous,1.16
251,Far North Region,Mayo-Tsanaga,414.49,Plains,5.5
252,East Region,Kadey,220.05,Forest,11.1
253,North Region,Mayo-Louti,374.18,Mountainous,12.25
254,West Region,Nde,206.27,Coastal,11.75
255,Adamawa Region,Faro-et-Deo,342.9,Forest,6.34
256,Northwest Region,Mezam,129.83,Forest,5.5
257,South Region,Mvila,375.69,Coastal,6.06
258,North Region,Mayo-Rey,405.38,Mountainous,6.14
259,East Region,Boumba-et-Ngoko,452.34,Plains,8.01
260,West Region,Haut-Nkam,135.66,Forest,12.77
261,South Region,Mvila,129.86,Forest,7.12
262,Far North Region,Mayo-Tsanaga,209.44,Coastal,11.16
263,North Region,Mayo-Rey,201.64,Plains,4.65
264,Adamawa Region,Mbere,450.08,Coastal,11.19
265,South Region,Vallee-du-Ntem,430.3,Forest,13.74
266,Centre Region,Nyong-et-Kelle,409.89,Coastal,0.19
267,Northwest Region,Ngo-Ketunjia,154.61,Mountainous,14.73
268,South Region,Ocean,58.11,Coastal,4.23
269,Centre Region,Mbam-et-Kim,103.81,Coastal,16.03
270,East Region,Lom-et-Djerem,305.1,Plains,11.61
271,Centre Region,Nyong-et-Kelle,390.45,Plains,9.46
272,South Region,Vallee-du-Ntem,78.64,Forest,14.02
273,Adamawa Region,Faro-et-Deo,141.38,Mountainous,5.83
274,West Region,Mifi,453.4,Forest,19.5
275,North Region,Benoue,76.07,Forest,6.98
276,Far North Region,Mayo-Danay,386.81,Coastal,11.66
277,Centre Region,Mbam-et-Kim,61.01,Mountainous,1.06
278,Adamawa Region,Djerem,242.34,Forest,11.42
279,Southwest Region,Meme,169.56,Plains,11.26
280,Centre Region,Lekie,91.84,Plains,12.65
281,Southwest Region,Ndian,385.02,Forest,4.88
282,Northwest Region,Ngo-Ketunjia,127.43,Mountainous,15.07
283,Northwest Region,Bui,331.64,Plains,12.62
284,Far North Region,Mayo-Kani,186.2,Mountainous,2.46
285,Centre Region,Lekie,235.3,Mountainous,19.64
286,North Region,Mayo-Louti,321.76,Mountainous,8.38
287,East Region,Haut-Nyong,134.63,Plains,7.94
288,Littoral Region,Moungo,271.76,Mountainous,3.61
289,Far North Region,Diamare,340.35,Coastal,4.43
290,North Region,Mayo-Louti,334.32,Plains,3.08
291,Far North Region,Mayo-Danay,251.04,Plains,13.19
292,Centre Region,Nyong-et-Kelle,78.57,Forest,15.66
293,Far North Region,Mayo-Danay,405.44,Plains,15.44
294,Far North Region,Mayo-Kani,302.18,Mountainous,17.17
295,Far North Region,Mayo-Danay,336.32,Plains,9.94
296,Littoral Region,Sanaga-Maritime,61.49,Plains,16.41
297,South Region,Ocean,145.66,Mountainous,5.99
298,Northwest Region,Bui,291.99,Plains,14.1
299,North Region,Mayo-Rey,105.97,Forest,12.19
300,South Region,Dja-et-Lobo,363.62,Coastal,14.57
301,Adamawa Region,Faro-et-Deo,362.67,Coastal,18.41
302,South Region,Vallee-du-Ntem,381.42,Coastal,9.5
303,West Region,Haut-Nkam,420.01,Forest,12.02
304,East Region,Lom-et-Djerem,372.86,Plains,8.5
305,East Region,Boumba-et-Ngoko,486.85,Mountainous,13.96
306,East Region,Boumba-et-Ngoko,125.33,Forest,4.52
307,North Region,Faro,94.51,Plains,2.21
308,Northwest Region,Bui,406.76,Mountainous,16.36
309,North Region,Benoue,472.57,Mountainous,10.89
310,South Region,Ocean,296.58,Coastal,2.15
311,Adamawa Region,Mbere,397.35,Coastal,1.93
312,North Region,Mayo-Rey,299.83,Coastal,1.58
313,South Region,Ocean,480.02,Coastal,7.42
314,East Region,Kadey,195.06,Mountainous,14.29
315,West Region,Haut-Nkam,357.47,Forest,19.04
316,East Region,Kadey,357.87,Plains,5.16
317,Adamawa Region,Mbere,59.97,Coastal,5.57
318,Littoral Region,Nkam,59.43,Mountainous,13.56
319,West Region,Mifi,395.31,Mountainous,1.39
320,Far North Region,Diamare,259.58,Plains,12.57
321,West Region,Menoua,378.69,Plains,13.07
322,Northwest Region,Mezam,186.18,Forest,9.45
323,South Region,Vallee-du-Ntem,273.22,Coastal,7.02
324,South Region,Ocean,251.77,Forest,14.81
325,North Region,Benoue,297.25,Mountainous,1.41
326,Southwest Region,Meme,244.04,Plains,16.69
327,Littoral Region,Sanaga-Maritime,364.13,Plains,14.59
328,Far North Region,Diamare,249.61,Coastal,18.47
329,North Region,Mayo-Rey,398.57,Plains,1.5
330,Northwest Region,Momo,87.75,Mountainous,9.8
331,Northwest Region,Momo,330.43,Plains,7.05
332,Far North Region,Mayo-Tsanaga,102.91,Forest,14.69
333,East Region,Boumba-et-Ngoko,140.32,Forest,15.41
334,North Region,Mayo-Louti,292.78,Mountainous,15.54
335,Adamawa Region,Mayo-Banyo,319.91,Coastal,6.59
336,Far North Region,Diamare,318.7,Mountainous,10.86
337,South Region,Dja-et-Lobo,237.8,Plains,12.11
338,Centre Region,Mfoundi,325.88,Coastal,19.06
339,Adamawa Region,Djerem,171.27,Forest,18.26
340,West Region,Nde,54.56,Plains,16.21
341,Centre Region,Mfoundi,240.93,Coastal,12.87
342,Northwest Region,Mezam,396.53,Forest,18.1
343,Adamawa Region,Mbere,430.97,Forest,11.12
344,Centre Region,Nyong-et-Kelle,477.43,Mountainous,14.35
345,East Region,Kadey,128.23,Forest,19.49
346,Littoral Region,Wouri,231.79,Forest,8.17
347,Southwest Region,Ndian,184.51,Forest,11.49
348,Southwest Region,Fako,164.24,Plains,14.81
349,West Region,Haut-Nkam,213.77,Coastal,17.64
350,Northwest Region,Donga-Mantung,101.38,Mountainous,11.42
351,Centre Region,Lekie,115.41,Mountainous,14.2
352,Southwest Region,Kupe-Manenguba,485.97,Plains,18.18
353,Centre Region,Lekie,381.32,Plains,5.64
354,Centre Region,Lekie,394.53,Plains,8.21
355,Adamawa Region,Mbere,175.44,Forest,19.68
356,East Region,Kadey,168.17,Mountainous,12.43
357,Littoral Region,Nkam,289.09,Coastal,3.95
358,Northwest Region,Mezam,65.24,Plains,9.75
359,North Region,Benoue,383.66,Mountainous,13.98
360,Far North Region,Mayo-Tsanaga,117.67,Forest,11.27
361,Adamawa Region,Faro-et-Deo,254.41,Plains,14.04
362,Adamawa Region,Mbere,102.3,Coastal,19.74
363,Adamawa Region,Vina,113.21,Coastal,6.2
364,East Region,Kadey,120.44,Mountainous,17.72
365,Littoral Region,Wouri,333.16,Plains,0.36
366,Centre Region,Lekie,433.99,Forest,14.33
367,Northwest Region,Ngo-Ketunjia,180.16,Coastal,18.27
368,Northwest Region,Donga-Mantung,170.47,Plains,4.56
369,Southwest Region,Lebialem,204.57,Mountainous,1.02
370,Southwest Region,Kupe-Manenguba,216.31,Mountainous,11.65
371,Far North Region,Mayo-Kani,284.35,Plains,12.88
372,South Region,Vallee-du-Ntem,272.19,Forest,2.0
373,Littoral Region,Wouri,239.34,Forest,7.41
374,West Region,Nde,186.04,Coastal,7.19
375,West Region,Menoua,243.07,Forest,1.02
376,Centre Region,Lekie,451.02,Plains,19.25
377,Southwest Region,Lebialem,332.03,Forest,11.27
378,South Region,Vallee-du-Ntem,341.15,Forest,19.81
379,Far North Region,Mayo-Kani,257.31,Coastal,0.55
380,Adamawa Region,Vina,404.9,Coastal,0.74
381,North Region,Faro,392.77,Forest,12.23
382,West Region,Mifi,240.06,Forest,2.46
383,South Region,Mvila,195.46,Coastal,18.4
384,East Region,Kadey,222.35,Forest,13.1
385,North Region,Mayo-Rey,253.9,Plains,14.5
386,Littoral Region,Wouri,131.16,Plains,14.96
387,Littoral Region,Sanaga-Maritime,99.98,Coastal,3.05
388,North Region,Benoue,358.39,Coastal,8.93
389,Far North Region,Diamare,376.67,Forest,14.34
390,Littoral Region,Wouri,121.55,Mountainous,3.31
391,Adamawa Region,Faro-et-Deo,134.32,Forest,0.46
392,North Region,Benoue,254.8,Mountainous,8.41
393,Adamawa Region,Mbere,482.31,Mountainous,12.12
394,West Region,Nde,337.39,Coastal,4.14
395,Far North Region,Mayo-Sava,473.69,Coastal,3.53
396,Far North Region,Mayo-Sava,89.66,Mountainous,15.48
397,Far North Region,Diamare,162.34,Mountainous,8.52
398,West Region,Nde,198.88,Forest,9.46
399,Southwest Region,Kupe-Manenguba,283.12,Coastal,16.03
400,East Region,Haut-Nyong,417.87,Plains,2.97
401,West Region,Nde,175.47,Forest,1.24
402,Centre Region,Mbam-et-Kim,132.16,Mountainous,0.57
403,Southwest Region,Kupe-Manenguba,295.75,Forest,6.65
404,West Region,Mifi,232.87,Coastal,18.75
405,Littoral Region,Sanaga-Maritime,236.85,Coastal,6.77
406,Southwest Region,Lebialem,245.15,Plains,7.92
407,East Region,Kadey,488.05,Coastal,4.22
408,Far North Region,Mayo-Kani,467.23,Coastal,3.5
409,West Region,Haut-Nkam,228.31,Forest,2.56
410,Southwest Region,Fako,211.47,Coastal,18.51
411,Northwest Region,Mezam,397.91,Forest,14.4
412,North Region,Mayo-Louti,452.55,Coastal,18.75
413,South Region,Vallee-du-Ntem,422.02,Forest,14.46
414,Adamawa Region,Mbere,416.37,Forest,14.93
415,East Region,Lom-et-Djerem,191.45,Plains,1.04
416,Centre Region,Mfoundi,173.24,Mountainous,14.14
417,West Region,Nde,363.09,Forest,19.32
418,South Region,Mvila,337.05,Plains,19.16
419,West Region,Bamboutos,280.77,Plains,19.2
420,East Region,Lom-et-Djerem,384.39,Forest,0.94
421,Adamawa Region,Djerem,51.26,Coastal,11.68
422,Far North Region,Mayo-Tsanaga,156.16,Coastal,2.42
423,East Region,Haut-Nyong,234.2,Mountainous,19.62
424,Littoral Region,Wouri,220.94,Mountainous,8.41
425,Northwest Region,Bui,389.52,Plains,6.79
426,Adamawa Region,Faro-et-Deo,157.21,Forest,5.57
427,West Region,Nde,484.44,Plains,6.08
428,Littoral Region,Nkam,174.28,Forest,17.56
429,North Region,Mayo-Rey,315.91,Forest,5.79
430,Adamawa Region,Djerem,160.83,Coastal,17.91
431,South Region,Mvila,241.04,Coastal,0.96
432,Adamawa Region,Djerem,491.13,Plains,5.88
433,East Region,Boumba-et-Ngoko,117.27,Coastal,10.45
434,Northwest Region,Ngo-Ketunjia,348.47,Plains,18.29
435,South Region,Vallee-du-Ntem,156.16,Mountainous,3.55
436,West Region,Menoua,121.74,Forest,15.29
437,East Region,Kadey,490.2,Plains,11.39
438,Northwest Region,Mezam,230.31,Mountainous,15.17
439,Littoral Region,Moungo,200.06,Forest,19.41
440,North Region,Faro,311.93,Plains,4.53
441,Adamawa Region,Vina,59.72,Coastal,15.11
442,East Region,Lom-et-Djerem,406.64,Coastal,5.53
443,Centre Region,Haute-Sanaga,396.95,Plains,10.4
444,Littoral Region,Nkam,353.11,Mountainous,17.83
445,Adamawa Region,Mayo-Banyo,365.38,Plains,12.52
446,East Region,Kadey,379.98,Forest,15.88
447,Adamawa Region,Faro-et-Deo,460.52,Mountainous,0.38
448,East Region,Boumba-et-Ngoko,265.57,Forest,11.87
449,Northwest Region,Ngo-Ketunjia,308.06,Coastal,9.51
450,Littoral Region,Moungo,157.57,Forest,19.04
451,Far North Region,Mayo-Tsanaga,139.18,Mountainous,6.33
452,Southwest Region,Fako,228.46,Mountainous,10.43
453,South Region,Vallee-du-Ntem,134.15,Plains,16.32
454,East Region,Haut-Nyong,127.56,Plains,9.94
455,North Region,Mayo-Rey,217.47,Plains,15.42
456,Littoral Region,Moungo,319.15,Mountainous,14.64
457,Centre Region,Haute-Sanaga,250.33,Forest,10.85
458,Centre Region,Nyong-et-Kelle,243.52,Mountainous,6.32
459,Southwest Region,Fako,138.19,Plains,11.37
460,Southwest Region,Lebialem,79.13,Mountainous,13.64
461,North Region,Faro,243.52,Forest,0.33
462,Far North Region,Mayo-Danay,419.65,Mountainous,1.69
463,South Region,Vallee-du-Ntem,267.82,Mountainous,9.2
464,North Region,Benoue,282.45,Forest,19.48
465,South Region,Ocean,312.48,Plains,14.41
466,Southwest Region,Fako,263.59,Forest,7.97
467,Centre Region,Haute-Sanaga,277.99,Plains,2.67
468,South Region,Ocean,275.8,Mountainous,14.44
469,Centre Region,Lekie,459.09,Mountainous,6.88
470,North Region,Mayo-Rey,415.68,Mountainous,10.91
471,East Region,Haut-Nyong,465.9,Plains,17.09
472,North Region,Mayo-Louti,180.81,Plains,11.22
473,Southwest Region,Lebialem,182.94,Forest,15.55
474,East Region,Boumba-et-Ngoko,405.94,Forest,5.24
475,Centre Region,Mbam-et-Kim,443.94,Mountainous,15.35
476,South Region,Ocean,461.47,Coastal,5.85
477,South Region,Mvila,197.29,Plains,19.76
478,North Region,Mayo-Louti,203.7,Mountainous,15.08
479,Northwest Region,Donga-Mantung,163.77,Mountainous,19.37
480,West Region,Haut-Nkam,245.92,Plains,15.22
481,Southwest Region,Lebialem,474.79,Forest,17.2
482,East Region,Lom-et-Djerem,226.71,Plains,15.04
483,Far North Region,Mayo-Tsanaga,362.77,Coastal,1.57
484,East Region,Kadey,234.94,Forest,4.74
485,West Region,Nde,487.76,Coastal,6.15
486,Southwest Region,Meme,154.93,Plains,11.91
487,West Region,Bamboutos,467.36,Forest,3.04
488,East Region,Boumba-et-Ngoko,243.65,Mountainous,19.52
489,East Region,Haut-Nyong,226.85,Mountainous,0.81
490,Far North Region,Mayo-Kani,135.14,Mountainous,4.43
491,Centre Region,Haute-Sanaga,183.61,Mountainous,0.92
492,Littoral Region,Moungo,475.71,Plains,0.69
493,Centre Region,Haute-Sanaga,367.38,Mountainous,3.41
494,West Region,Bamboutos,213.66,Mountainous,9.02
495,West Region,Bamboutos,113.74,Mountainous,17.44
496,East Region,Boumba-et-Ngoko,377.15,Coastal,0.98
497,Adamawa Region,Mbere,106.57,Plains,11.86
498,Northwest Region,Donga-Mantung,222.51,Forest,3.03
499,East Region,Boumba-et-Ngoko,343.91,Forest,4.93
