Prevention_key,Nets_distributed,Spray_coverage,Control_method,Last_campaign_date
40,3770,54.69,Larvicide Application,2016-05-21
41,888,93.02,Larvicide Application,2021-07-04
42,4807,84.43,Bed Net Distribution,2023-01-03
43,3244,90.65,Bed Net Distribution,2015-02-18
44,3879,82.91,Bed Net Distribution,2022-11-03
45,958,66.36,Environmental Management,2023-11-27
46,717,86.56,Environmental Management,2015-01-01
47,2438,63.38,Indoor Residual Spraying,2017-06-21
48,3806,43.32,Indoor Residual Spraying,2018-03-05
49,3491,92.4,Indoor Residual Spraying,2020-05-08
50,3903,74.2,Bed Net Distribution,2019-06-14
51,1588,72.69,Bed Net Distribution,2021-04-01
52,4508,41.33,Indoor Residual Spraying,2019-05-03
53,2071,73.9,Indoor Residual Spraying,2016-10-13
54,4074,41.76,Indoor Residual Spraying,2022-03-25
55,499,66.86,Bed Net Distribution,2019-07-22
56,4613,87.4,Larvicide Application,2016-03-23
57,2943,68.3,Environmental Management,2017-06-30
58,2784,89.78,Indoor Residual Spraying,2018-04-20
59,1183,57.45,Indoor Residual Spraying,2020-07-03
60,2757,86.76,Environmental Management,2018-06-13
61,1930,51.8,Bed Net Distribution,2023-10-07
62,2501,83.95,Indoor Residual Spraying,2023-06-11
63,3228,88.3,Indoor Residual Spraying,2016-06-14
64,2737,72.55,Bed Net Distribution,2018-08-01
65,4824,88.79,Larvicide Application,2023-01-13
66,2464,40.27,Bed Net Distribution,2022-06-13
67,333,67.6,Larvicide Application,2021-10-19
68,4040,43.24,Larvicide Application,2023-01-15
69,2982,41.04,Indoor Residual Spraying,2023-12-05
70,1025,90.2,Environmental Management,2021-11-26
71,3581,73.23,Larvicide Application,2016-06-14
72,4463,59.04,Larvicide Application,2019-02-02
73,268,90.4,Environmental Management,2015-05-24
74,1249,61.08,Indoor Residual Spraying,2019-03-24
75,1404,86.99,Indoor Residual Spraying,2023-02-22
76,4649,66.98,Larvicide Application,2018-09-22
77,3017,43.96,Larvicide Application,2020-06-18
78,1680,88.4,Environmental Management,2018-08-14
79,1529,57.87,Larvicide Application,2022-07-30
80,1311,67.06,Bed Net Distribution,2021-11-26
81,132,53.69,Bed Net Distribution,2017-06-16
82,234,62.68,Larvicide Application,2015-11-11
83,789,51.15,Indoor Residual Spraying,2021-11-08
84,1393,84.4,Indoor Residual Spraying,2023-07-28
85,3978,58.08,Bed Net Distribution,2016-06-08
86,457,86.03,Bed Net Distribution,2018-01-28
87,4769,92.28,Larvicide Application,2023-05-29
88,2968,94.32,Bed Net Distribution,2016-02-14
89,596,82.82,Bed Net Distribution,2016-03-08
90,2076,87.4,Larvicide Application,2021-05-06
91,3267,71.03,Environmental Management,2018-01-28
92,234,63.91,Environmental Management,2020-04-12
93,1786,64.36,Environmental Management,2022-03-29
94,3028,56.28,Indoor Residual Spraying,2018-09-15
95,2152,85.89,Larvicide Application,2023-11-09
96,1228,40.02,Environmental Management,2018-04-09
97,547,74.56,Bed Net Distribution,2017-12-14
98,2589,64.47,Indoor Residual Spraying,2018-02-04
99,1281,86.13,Environmental Management,2017-12-07
100,3877,53.45,Bed Net Distribution,2016-02-12
101,809,40.13,Bed Net Distribution,2016-05-23
102,3368,82.95,Environmental Management,2023-06-15
103,2546,63.23,Bed Net Distribution,2016-02-02
104,1775,90.64,Environmental Management,2023-08-21
105,3290,73.49,Indoor Residual Spraying,2022-06-25
106,1228,64.64,Bed Net Distribution,2020-02-16
107,3342,90.17,Bed Net Distribution,2016-09-24
108,3754,78.5,Larvicide Application,2015-09-04
109,2879,70.49,Indoor Residual Spraying,2021-04-28
110,4292,57.91,Bed Net Distribution,2016-09-14
111,4320,73.57,Environmental Management,2022-05-17
112,3407,94.51,Indoor Residual Spraying,2016-08-13
113,661,60.27,Indoor Residual Spraying,2023-11-03
114,2405,49.82,Indoor Residual Spraying,2022-07-21
115,3384,72.61,Larvicide Application,2020-09-11
116,2750,82.99,Bed Net Distribution,2021-02-07
117,4881,52.4,Bed Net Distribution,2020-02-02
118,2447,47.47,Larvicide Application,2015-06-29
119,4465,81.61,Larvicide Application,2017-05-19
120,3714,78.28,Environmental Management,2017-06-11
121,2705,74.09,Indoor Residual Spraying,2019-11-13
122,1906,76.49,Indoor Residual Spraying,2021-08-30
123,2312,73.51,Indoor Residual Spraying,2015-05-07
124,2810,83.34,Larvicide Application,2015-10-12
125,3481,85.79,Environmental Management,2022-07-08
126,1987,80.64,Bed Net Distribution,2015-10-05
127,2380,60.01,Larvicide Application,2020-12-20
128,1987,42.87,Bed Net Distribution,2019-04-02
129,429,56.03,Indoor Residual Spraying,2021-06-14
130,3107,64.22,Environmental Management,2016-08-12
131,4110,57.81,Larvicide Application,2023-05-01
132,616,46.4,Bed Net Distribution,2022-09-16
133,1993,89.25,Indoor Residual Spraying,2023-02-27
134,2704,80.62,Larvicide Application,2022-04-29
135,3673,70.52,Indoor Residual Spraying,2016-06-02
136,4408,63.22,Environmental Management,2021-01-27
137,1943,74.61,Indoor Residual Spraying,2021-12-08
138,2028,70.1,Larvicide Application,2023-06-20
139,4354,63.15,Bed Net Distribution,2019-01-17
140,631,87.63,Indoor Residual Spraying,2022-06-08
141,4399,86.67,Bed Net Distribution,2019-04-03
142,1372,61.73,Bed Net Distribution,2017-11-21
143,1350,69.43,Bed Net Distribution,2017-07-23
144,2858,69.74,Environmental Management,2023-01-16
145,4894,88.83,Larvicide Application,2016-03-30
146,507,66.07,Indoor Residual Spraying,2023-11-13
147,3600,63.84,Bed Net Distribution,2023-01-03
148,815,53.15,Indoor Residual Spraying,2019-09-30
149,2160,54.67,Environmental Management,2021-06-04
150,3211,87.48,Bed Net Distribution,2015-01-24
151,1798,81.83,Environmental Management,2018-04-09
152,2665,64.03,Indoor Residual Spraying,2022-10-17
153,3698,87.23,Indoor Residual Spraying,2018-12-24
154,2824,45.52,Larvicide Application,2019-07-29
155,422,66.91,Bed Net Distribution,2015-11-07
156,242,71.88,Indoor Residual Spraying,2022-07-21
157,3732,42.63,Indoor Residual Spraying,2020-05-11
158,951,43.07,Larvicide Application,2020-05-23
159,3503,66.63,Environmental Management,2022-10-28
160,3202,67.76,Bed Net Distribution,2021-11-04
161,1484,94.2,Larvicide Application,2016-08-01
162,3021,70.01,Indoor Residual Spraying,2022-05-27
163,1738,54.76,Bed Net Distribution,2015-10-30
164,4146,76.26,Indoor Residual Spraying,2016-10-26
165,243,93.52,Indoor Residual Spraying,2023-08-12
166,4162,77.19,Environmental Management,2016-05-29
167,1023,94.11,Bed Net Distribution,2022-10-07
168,2231,70.7,Bed Net Distribution,2016-07-12
169,1811,63.47,Environmental Management,2023-03-24
170,2469,45.79,Indoor Residual Spraying,2023-04-08
171,3876,94.39,Larvicide Application,2022-09-08
172,4626,41.29,Environmental Management,2019-04-25
173,2090,52.14,Environmental Management,2018-02-10
174,2767,82.72,Bed Net Distribution,2019-08-28
175,2960,51.49,Indoor Residual Spraying,2018-06-28
176,4084,48.74,Larvicide Application,2020-11-08
177,1894,54.14,Indoor Residual Spraying,2018-06-29
178,208,72.33,Indoor Residual Spraying,2020-03-10
179,296,59.23,Environmental Management,2020-01-19
180,2833,44.89,Indoor Residual Spraying,2020-07-24
181,1515,41.3,Larvicide Application,2019-05-29
182,2073,53.3,Bed Net Distribution,2015-09-23
183,1288,70.29,Environmental Management,2019-12-19
184,1725,60.31,Bed Net Distribution,2018-07-27
185,3645,72.16,Environmental Management,2019-09-09
186,2400,80.42,Bed Net Distribution,2015-02-06
187,2972,41.89,Indoor Residual Spraying,2018-11-19
188,3684,41.87,Larvicide Application,2016-02-09
189,4035,79.94,Environmental Management,2018-06-29
190,1488,48.18,Larvicide Application,2018-11-06
191,4637,94.53,Indoor Residual Spraying,2015-08-04
192,4468,56.1,Bed Net Distribution,2020-11-09
193,1538,45.6,Bed Net Distribution,2021-05-26
194,4632,78.62,Indoor Residual Spraying,2015-02-18
195,860,85.34,Indoor Residual Spraying,2020-08-15
196,2646,70.0,Bed Net Distribution,2021-08-02
197,2125,83.19,Larvicide Application,2020-12-16
198,4799,83.26,Environmental Management,2021-03-17
199,1190,46.97,Indoor Residual Spraying,2019-09-02
200,2264,54.64,Bed Net Distribution,2018-09-24
201,3181,65.84,Bed Net Distribution,2018-10-13
202,2851,91.44,Indoor Residual Spraying,2018-12-30
203,2579,88.02,Bed Net Distribution,2016-02-09
204,1066,57.29,Larvicide Application,2015-03-16
205,1145,55.99,Indoor Residual Spraying,2021-09-16
206,1057,63.79,Indoor Residual Spraying,2019-04-11
207,1689,91.92,Environmental Management,2021-01-07
208,1693,57.03,Environmental Management,2022-05-18
209,4642,43.17,Bed Net Distribution,2023-09-27
210,4203,83.59,Indoor Residual Spraying,2023-02-21
211,141,50.34,Larvicide Application,2021-05-28
212,2238,70.17,Indoor Residual Spraying,2022-02-06
213,4231,56.99,Environmental Management,2021-08-08
214,4678,55.78,Bed Net Distribution,2019-06-25
215,886,65.93,Indoor Residual Spraying,2015-03-22
216,2747,61.63,Larvicide Application,2022-04-15
217,4095,69.9,Indoor Residual Spraying,2020-12-07
218,1080,84.68,Bed Net Distribution,2019-06-09
219,2877,59.79,Bed Net Distribution,2021-01-25
220,1465,88.23,Environmental Management,2020-10-15
221,979,46.98,Environmental Management,2017-12-16
222,1966,51.51,Bed Net Distribution,2022-02-22
223,2299,47.0,Bed Net Distribution,2019-08-26
224,851,63.9,Bed Net Distribution,2018-07-24
225,3910,57.18,Environmental Management,2018-08-11
226,1253,65.99,Environmental Management,2015-05-31
227,3400,46.71,Indoor Residual Spraying,2018-06-05
228,2334,59.7,Larvicide Application,2017-11-23
229,4513,53.24,Larvicide Application,2016-12-16
230,1113,79.05,Indoor Residual Spraying,2021-02-02
231,438,82.8,Indoor Residual Spraying,2022-09-04
232,4721,59.74,Indoor Residual Spraying,2017-07-23
233,119,49.48,Larvicide Application,2016-10-28
234,1704,40.6,Indoor Residual Spraying,2017-06-01
235,3268,83.75,Bed Net Distribution,2019-04-05
236,3439,55.62,Environmental Management,2016-07-28
237,3218,68.66,Larvicide Application,2023-08-05
238,3688,72.65,Indoor Residual Spraying,2019-01-24
239,3662,55.42,Indoor Residual Spraying,2016-03-20
240,2228,85.42,Environmental Management,2020-05-10
241,1272,51.77,Bed Net Distribution,2023-02-12
242,1570,56.83,Indoor Residual Spraying,2016-09-28
243,1318,75.56,Larvicide Application,2018-04-27
244,1120,50.12,Larvicide Application,2018-11-10
245,3853,47.59,Larvicide Application,2023-06-10
246,2396,93.3,Larvicide Application,2021-09-13
247,2257,45.3,Bed Net Distribution,2016-04-08
248,2007,57.11,Larvicide Application,2020-05-06
249,3866,87.97,Bed Net Distribution,2019-01-03
250,2314,45.89,Environmental Management,2017-02-20
251,2801,53.88,Environmental Management,2022-02-10
252,686,50.82,Environmental Management,2023-04-14
253,1625,45.72,Environmental Management,2021-02-08
254,2754,66.59,Environmental Management,2016-05-23
255,2801,75.3,Larvicide Application,2021-03-05
256,3693,54.69,Bed Net Distribution,2021-02-08
257,1682,87.94,Bed Net Distribution,2017-02-08
258,4300,93.18,Environmental Management,2016-05-29
259,1249,78.14,Bed Net Distribution,2021-12-31
260,2026,91.67,Environmental Management,2016-08-11
261,3181,84.14,Indoor Residual Spraying,2022-03-20
262,334,64.12,Environmental Management,2018-09-22
263,138,93.78,Environmental Management,2017-10-20
264,4625,52.59,Indoor Residual Spraying,2019-04-13
265,1518,57.13,Indoor Residual Spraying,2020-08-06
266,4116,88.03,Indoor Residual Spraying,2017-09-07
267,1411,78.87,Environmental Management,2017-03-18
268,263,71.57,Environmental Management,2018-09-10
269,2986,81.02,Larvicide Application,2015-10-20
270,3019,41.73,Bed Net Distribution,2016-01-07
271,4413,78.87,Bed Net Distribution,2015-05-17
272,4696,91.85,Larvicide Application,2022-01-24
273,1980,79.1,Environmental Management,2023-06-24
274,4564,91.06,Larvicide Application,2016-02-29
275,2347,64.72,Environmental Management,2023-01-07
276,4011,62.36,Environmental Management,2020-01-26
277,4617,43.73,Larvicide Application,2016-03-01
278,2045,62.68,Larvicide Application,2015-07-13
279,924,48.23,Indoor Residual Spraying,2020-10-20
280,3174,51.14,Indoor Residual Spraying,2017-07-18
281,4786,90.54,Environmental Management,2022-05-29
282,220,93.5,Larvicide Application,2022-07-28
283,4688,51.7,Larvicide Application,2018-04-02
284,102,52.71,Larvicide Application,2019-06-28
285,4254,70.38,Environmental Management,2022-05-14
286,3890,77.52,Indoor Residual Spraying,2021-06-18
287,2145,63.74,Environmental Management,2018-02-07
288,784,94.09,Environmental Management,2016-09-16
289,1579,86.27,Larvicide Application,2018-10-31
290,4000,45.19,Environmental Management,2018-02-12
291,858,45.5,Environmental Management,2022-06-12
292,3767,81.04,Environmental Management,2022-10-05
293,666,80.47,Indoor Residual Spraying,2022-09-28
294,1738,87.91,Larvicide Application,2022-07-29
295,364,66.29,Indoor Residual Spraying,2016-01-29
296,2386,58.93,Indoor Residual Spraying,2019-12-09
297,438,93.66,Indoor Residual Spraying,2022-09-22
298,1370,90.34,Bed Net Distribution,2017-02-17
299,4228,60.92,Environmental Management,2021-09-10
300,4825,86.5,Indoor Residual Spraying,2018-11-15
301,3698,44.74,Bed Net Distribution,2018-09-11
302,1821,75.84,Indoor Residual Spraying,2016-09-22
303,3829,57.78,Bed Net Distribution,2023-03-30
304,2330,56.77,Environmental Management,2023-01-01
305,2110,61.68,Larvicide Application,2017-01-17
306,3205,50.7,Environmental Management,2017-12-21
307,2444,76.77,Indoor Residual Spraying,2018-01-14
308,4376,78.69,Larvicide Application,2023-10-19
309,1023,94.01,Indoor Residual Spraying,2022-12-08
310,1788,66.84,Bed Net Distribution,2019-09-09
311,106,46.72,Larvicide Application,2015-09-06
312,1120,70.12,Indoor Residual Spraying,2022-12-18
313,4666,49.97,Environmental Management,2022-11-06
314,3571,59.8,Larvicide Application,2023-03-25
315,4013,54.77,Bed Net Distribution,2022-10-07
316,3835,45.86,Indoor Residual Spraying,2018-12-01
317,642,86.13,Bed Net Distribution,2020-07-09
318,415,63.89,Indoor Residual Spraying,2018-09-04
319,3187,74.59,Bed Net Distribution,2016-03-30
320,148,52.55,Indoor Residual Spraying,2015-03-24
321,1442,77.66,Larvicide Application,2018-08-23
322,2022,58.44,Bed Net Distribution,2019-07-25
323,3540,76.62,Bed Net Distribution,2018-10-12
324,4367,47.62,Larvicide Application,2019-03-27
325,758,81.35,Bed Net Distribution,2022-10-29
326,629,67.32,Larvicide Application,2019-11-05
327,144,43.65,Larvicide Application,2020-12-07
328,855,64.31,Larvicide Application,2017-06-15
329,3064,68.0,Larvicide Application,2019-09-08
330,1350,62.7,Environmental Management,2017-02-03
331,3303,41.89,Bed Net Distribution,2017-04-07
332,4762,90.73,Bed Net Distribution,2021-12-30
333,955,87.89,Indoor Residual Spraying,2021-06-17
334,1944,49.26,Larvicide Application,2022-05-02
335,1089,70.05,Larvicide Application,2021-07-27
336,1384,61.57,Environmental Management,2018-01-28
337,2256,86.54,Environmental Management,2017-06-30
338,4087,88.59,Environmental Management,2023-11-10
339,4667,84.04,Bed Net Distribution,2022-06-22
340,806,63.39,Indoor Residual Spraying,2018-10-10
341,658,86.38,Bed Net Distribution,2017-02-10
342,1392,53.75,Indoor Residual Spraying,2020-02-29
343,4846,45.54,Larvicide Application,2022-06-05
344,2643,93.3,Bed Net Distribution,2016-01-28
345,746,71.3,Larvicide Application,2020-05-09
346,2739,41.11,Indoor Residual Spraying,2020-09-23
347,4950,43.53,Indoor Residual Spraying,2017-05-17
348,4183,62.92,Larvicide Application,2022-05-19
349,1210,47.72,Bed Net Distribution,2019-10-03
350,2852,68.93,Environmental Management,2021-03-26
351,4971,42.06,Bed Net Distribution,2018-12-11
352,1215,60.78,Larvicide Application,2023-03-30
353,3151,89.03,Indoor Residual Spraying,2021-04-19
354,143,86.17,Indoor Residual Spraying,2015-08-12
355,1782,43.27,Larvicide Application,2017-10-11
356,4293,87.17,Larvicide Application,2020-03-14
357,1791,68.34,Larvicide Application,2022-11-13
358,1358,43.25,Environmental Management,2023-02-20
359,2310,48.59,Indoor Residual Spraying,2021-02-01
360,2810,55.51,Bed Net Distribution,2020-06-27
361,4523,88.13,Larvicide Application,2018-09-10
362,3858,62.96,Bed Net Distribution,2020-11-10
363,3710,57.83,Bed Net Distribution,2017-04-19
364,861,80.04,Environmental Management,2020-05-05
365,1983,81.83,Larvicide Application,2021-04-07
366,210,73.16,Bed Net Distribution,2022-12-12
367,2118,54.32,Larvicide Application,2019-06-16
368,177,78.29,Environmental Management,2015-08-25
369,1832,66.55,Environmental Management,2017-12-24
370,4532,89.16,Indoor Residual Spraying,2015-12-20
371,2452,51.04,Indoor Residual Spraying,2017-11-25
372,4119,81.06,Indoor Residual Spraying,2018-09-20
373,4415,69.29,Indoor Residual Spraying,2016-01-28
374,2251,56.32,Bed Net Distribution,2016-09-05
375,1537,60.43,Environmental Management,2017-05-27
376,480,41.1,Larvicide Application,2018-05-01
377,3754,84.89,Larvicide Application,2022-03-11
378,1957,45.8,Environmental Management,2023-04-13
379,3969,57.28,Environmental Management,2018-05-15
380,3251,52.63,Bed Net Distribution,2022-08-15
381,2764,92.25,Bed Net Distribution,2021-07-08
382,3345,68.41,Indoor Residual Spraying,2016-01-23
383,3129,69.59,Larvicide Application,2018-12-04
384,1437,41.88,Indoor Residual Spraying,2023-01-13
385,1571,53.89,Indoor Residual Spraying,2020-12-22
386,3240,85.51,Indoor Residual Spraying,2016-12-23
387,1170,61.86,Bed Net Distribution,2019-03-12
388,1249,69.5,Environmental Management,2016-06-30
389,1353,69.31,Larvicide Application,2020-05-28
390,3146,48.42,Indoor Residual Spraying,2016-08-05
391,1949,42.21,Bed Net Distribution,2020-02-15
392,4695,82.4,Larvicide Application,2019-04-03
393,3916,69.74,Indoor Residual Spraying,2021-01-04
394,3023,68.53,Bed Net Distribution,2023-12-28
395,3912,87.6,Indoor Residual Spraying,2015-01-14
396,4017,68.73,Indoor Residual Spraying,2022-04-22
397,2085,41.7,Environmental Management,2015-04-02
398,4060,69.35,Larvicide Application,2022-09-02
399,2121,88.17,Environmental Management,2016-05-19
400,245,70.04,Environmental Management,2017-08-25
401,3593,40.22,Environmental Management,2023-12-20
402,4943,56.54,Indoor Residual Spraying,2019-04-08
403,4537,91.25,Indoor Residual Spraying,2018-10-05
404,916,72.17,Indoor Residual Spraying,2017-02-14
405,116,76.81,Bed Net Distribution,2021-06-13
406,3162,66.85,Environmental Management,2021-06-28
407,497,45.78,Bed Net Distribution,2021-08-28
408,1446,73.32,Larvicide Application,2021-09-02
409,3738,69.9,Environmental Management,2020-02-10
410,1278,80.02,Environmental Management,2020-09-03
411,1126,80.61,Larvicide Application,2016-09-26
412,3416,88.44,Larvicide Application,2021-08-31
413,281,47.27,Larvicide Application,2019-03-16
414,756,47.63,Bed Net Distribution,2023-08-26
415,4490,67.43,Indoor Residual Spraying,2017-04-28
416,4642,40.69,Bed Net Distribution,2017-08-26
417,1082,56.39,Bed Net Distribution,2018-03-16
418,2702,86.81,Larvicide Application,2016-03-12
419,2944,71.97,Bed Net Distribution,2022-01-26
420,4042,52.45,Indoor Residual Spraying,2016-11-11
421,2311,67.14,Indoor Residual Spraying,2016-05-10
422,1509,41.31,Larvicide Application,2020-06-04
423,591,51.67,Bed Net Distribution,2021-06-16
424,1001,91.89,Environmental Management,2020-10-09
425,4599,77.57,Larvicide Application,2015-11-28
426,2786,52.64,Environmental Management,2020-05-22
427,541,68.87,Larvicide Application,2023-06-11
428,1442,84.01,Environmental Management,2016-07-20
429,3234,59.82,Larvicide Application,2020-10-24
430,467,93.25,Indoor Residual Spraying,2020-09-14
431,2769,60.33,Environmental Management,2019-01-06
432,3055,48.11,Larvicide Application,2021-07-15
433,762,72.3,Larvicide Application,2020-12-18
434,1299,70.52,Larvicide Application,2016-12-04
435,3514,83.43,Environmental Management,2018-09-10
436,2910,67.34,Larvicide Application,2020-03-24
437,855,92.62,Larvicide Application,2020-02-15
438,2733,62.61,Bed Net Distribution,2016-05-05
439,4868,52.17,Environmental Management,2016-08-15
440,1239,68.79,Larvicide Application,2018-06-21
441,2794,71.79,Environmental Management,2020-06-13
442,3065,58.53,Environmental Management,2021-09-13
443,743,91.49,Larvicide Application,2017-06-30
444,2169,67.09,Larvicide Application,2019-09-23
445,430,72.1,Larvicide Application,2021-05-21
446,680,54.82,Indoor Residual Spraying,2022-09-26
447,1867,69.99,Bed Net Distribution,2016-03-02
448,1479,67.64,Bed Net Distribution,2019-02-28
449,3148,83.22,Indoor Residual Spraying,2021-01-02
450,2905,56.08,Larvicide Application,2021-04-16
451,3374,76.78,Indoor Residual Spraying,2018-11-15
452,826,42.63,Environmental Management,2015-04-17
453,4857,46.11,Indoor Residual Spraying,2018-04-07
454,2876,45.46,Larvicide Application,2015-06-20
455,4403,66.59,Indoor Residual Spraying,2021-04-06
456,988,82.84,Indoor Residual Spraying,2022-12-13
457,1192,87.97,Larvicide Application,2022-06-10
458,2025,90.66,Indoor Residual Spraying,2018-01-26
459,3397,59.87,Environmental Management,2020-08-24
460,2902,84.75,Bed Net Distribution,2019-11-01
461,3212,90.57,Larvicide Application,2015-03-14
462,1127,55.33,Indoor Residual Spraying,2020-03-17
463,1381,60.51,Larvicide Application,2017-09-27
464,1466,80.85,Environmental Management,2018-03-27
465,2331,62.55,Bed Net Distribution,2016-06-25
466,3705,74.18,Environmental Management,2019-09-27
467,1687,40.52,Bed Net Distribution,2015-11-18
468,837,85.08,Environmental Management,2020-07-02
469,290,66.12,Bed Net Distribution,2022-02-11
470,251,76.49,Bed Net Distribution,2019-09-09
471,3396,67.12,Bed Net Distribution,2020-08-17
472,987,59.7,Larvicide Application,2018-10-10
473,1099,74.18,Larvicide Application,2018-05-22
474,2999,81.41,Larvicide Application,2018-02-05
475,4269,70.45,Larvicide Application,2016-10-29
476,530,70.25,Bed Net Distribution,2015-02-21
477,528,65.65,Environmental Management,2019-02-04
478,2712,75.84,Larvicide Application,2021-01-23
479,323,92.81,Environmental Management,2020-11-13
480,2226,54.89,Bed Net Distribution,2022-09-06
481,402,48.21,Larvicide Application,2019-04-15
482,2905,70.0,Larvicide Application,2021-12-29
483,2333,44.8,Larvicide Application,2021-03-20
484,2673,85.71,Indoor Residual Spraying,2015-10-30
485,128,92.87,Larvicide Application,2022-04-03
486,3055,41.03,Indoor Residual Spraying,2019-05-02
487,191,69.65,Bed Net Distribution,2019-06-23
488,1566,40.04,Indoor Residual Spraying,2018-04-07
489,4500,86.82,Environmental Management,2015-09-22
490,1650,71.61,Larvicide Application,2021-12-19
491,4212,71.07,Environmental Management,2015-07-18
492,2069,60.95,Bed Net Distribution,2016-10-02
493,1756,54.48,Larvicide Application,2023-05-19
494,1116,87.6,Larvicide Application,2017-05-16
495,4613,61.56,Bed Net Distribution,2023-07-21
496,2644,69.45,Environmental Management,2017-10-29
497,4199,44.51,Bed Net Distribution,2015-09-17
498,2053,78.35,Bed Net Distribution,2023-08-02
499,914,50.37,Environmental Management,2018-03-12
500,4070,89.52,Larvicide Application,2020-03-20
501,4273,86.76,Larvicide Application,2022-10-28
502,4336,86.29,Indoor Residual Spraying,2020-02-24
503,156,80.26,Environmental Management,2023-10-10
504,683,61.32,Bed Net Distribution,2023-12-06
505,1761,48.71,Bed Net Distribution,2018-06-24
506,2723,46.43,Bed Net Distribution,2021-01-19
507,1901,55.64,Bed Net Distribution,2017-08-18
508,4770,86.44,Environmental Management,2020-04-20
509,4031,87.43,Larvicide Application,2019-06-04
510,1122,50.48,Bed Net Distribution,2017-03-26
511,369,73.94,Larvicide Application,2015-02-08
512,3995,66.18,Bed Net Distribution,2022-04-19
513,3172,89.43,Environmental Management,2023-07-19
514,1726,79.4,Larvicide Application,2020-01-28
515,1136,75.11,Indoor Residual Spraying,2020-03-17
516,896,40.11,Bed Net Distribution,2018-03-09
517,668,92.5,Indoor Residual Spraying,2020-10-29
518,621,87.09,Indoor Residual Spraying,2023-06-13
519,1605,64.5,Indoor Residual Spraying,2015-02-13
520,755,85.67,Environmental Management,2019-06-15
521,176,77.16,Environmental Management,2020-03-03
522,3646,88.93,Bed Net Distribution,2017-11-28
523,1126,85.47,Larvicide Application,2018-05-29
524,3518,46.7,Indoor Residual Spraying,2018-07-15
525,4963,94.47,Environmental Management,2020-03-30
526,2419,48.36,Environmental Management,2018-04-29
527,3273,91.48,Larvicide Application,2015-05-27
528,2969,47.75,Larvicide Application,2016-03-03
529,1962,93.9,Larvicide Application,2023-02-06
530,1758,51.39,Indoor Residual Spraying,2017-04-02
531,4841,63.77,Indoor Residual Spraying,2017-02-16
532,2989,46.39,Environmental Management,2021-04-03
533,1056,73.39,Environmental Management,2022-02-22
534,105,89.11,Bed Net Distribution,2017-07-04
535,119,68.24,Larvicide Application,2019-01-05
536,4552,44.91,Indoor Residual Spraying,2022-05-24
537,3005,88.35,Larvicide Application,2020-06-09
538,3442,57.1,Bed Net Distribution,2015-10-30
539,3525,84.03,Environmental Management,2015-10-07
540,3152,58.66,Bed Net Distribution,2015-05-11
541,4019,74.69,Environmental Management,2017-10-04
542,2608,73.96,Larvicide Application,2022-04-03
543,4528,53.28,Indoor Residual Spraying,2016-09-27
544,332,45.76,Indoor Residual Spraying,2021-11-19
545,3782,66.58,Environmental Management,2016-01-27
546,1581,76.34,Bed Net Distribution,2017-02-07
547,4659,79.35,Larvicide Application,2023-12-31
548,4755,68.95,Indoor Residual Spraying,2016-05-25
549,4684,53.89,Bed Net Distribution,2015-09-12
550,4773,72.9,Indoor Residual Spraying,2018-08-23
551,3714,73.68,Larvicide Application,2022-09-23
552,3818,59.44,Indoor Residual Spraying,2017-11-05
553,4619,59.99,Indoor Residual Spraying,2016-10-09
