Demographic_key,Age_group,Socio_economic_status,Vaccination_rate,Housing_type
230,Children (0-14),Middle Income,88.37,Rural
231,Elderly (65+),Low Income,61.88,Urban
232,Adults (15-64),Middle Income,83.91,Urban
233,Elderly (65+),Middle Income,63.77,Rural
234,Elderly (65+),Low Income,87.62,Semi-urban
235,Children (0-14),Middle Income,48.68,Rural
236,Adults (15-64),Low Income,85.92,Rural
237,Children (0-14),Low Income,63.33,Urban
238,Elderly (65+),Middle Income,45.87,Semi-urban
239,Children (0-14),Low Income,80.54,Rural
240,Elderly (65+),Low Income,75.93,Urban
241,Adults (15-64),Middle Income,73.56,Rural
242,Children (0-14),Low Income,59.43,Urban
243,Children (0-14),Middle Income,70.73,Rural
244,Adults (15-64),High Income,74.78,Rural
245,Elderly (65+),High Income,41.1,Semi-urban
246,Adults (15-64),Low Income,67.38,Rural
247,Children (0-14),Low Income,68.61,Semi-urban
248,Adults (15-64),Middle Income,40.97,Rural
249,Elderly (65+),High Income,56.9,Rural
250,Children (0-14),Middle Income,54.91,Urban
251,Elderly (65+),Low Income,86.7,Semi-urban
252,Children (0-14),Middle Income,57.39,Rural
253,Adults (15-64),Middle Income,82.75,Urban
254,Elderly (65+),Low Income,63.84,Rural
255,Elderly (65+),Low Income,92.23,Urban
256,Elderly (65+),Low Income,60.19,Semi-urban
257,Children (0-14),Middle Income,60.93,Rural
258,Elderly (65+),High Income,49.91,Semi-urban
259,Adults (15-64),Middle Income,86.71,Rural
260,Elderly (65+),High Income,43.68,Rural
261,Adults (15-64),Low Income,70.05,Urban
262,Children (0-14),High Income,65.3,Rural
263,Elderly (65+),Low Income,89.38,Urban
264,Children (0-14),Middle Income,86.62,Urban
265,Elderly (65+),High Income,61.68,Rural
266,Children (0-14),Low Income,90.17,Rural
267,Elderly (65+),Low Income,87.09,Rural
268,Children (0-14),High Income,94.85,Urban
269,Adults (15-64),Low Income,82.4,Rural
270,Children (0-14),Low Income,85.14,Semi-urban
271,Elderly (65+),High Income,48.41,Rural
272,Adults (15-64),Low Income,76.99,Semi-urban
273,Adults (15-64),Low Income,85.82,Semi-urban
274,Children (0-14),Low Income,52.36,Urban
275,Adults (15-64),Low Income,69.85,Rural
276,Children (0-14),Middle Income,46.7,Semi-urban
277,Children (0-14),High Income,86.23,Rural
278,Elderly (65+),High Income,47.52,Urban
279,Children (0-14),Middle Income,62.91,Urban
280,Elderly (65+),High Income,76.18,Semi-urban
281,Children (0-14),High Income,75.9,Urban
282,Elderly (65+),Middle Income,78.96,Urban
283,Elderly (65+),Low Income,44.25,Rural
284,Adults (15-64),Middle Income,81.53,Urban
285,Children (0-14),High Income,89.66,Urban
286,Children (0-14),High Income,52.44,Rural
287,Children (0-14),High Income,63.6,Urban
288,Children (0-14),Middle Income,63.84,Semi-urban
289,Children (0-14),Middle Income,44.95,Rural
290,Children (0-14),High Income,92.56,Semi-urban
291,Children (0-14),High Income,54.88,Semi-urban
292,Children (0-14),High Income,77.91,Urban
293,Children (0-14),Middle Income,61.67,Urban
294,Adults (15-64),Middle Income,90.88,Rural
295,Children (0-14),High Income,88.91,Semi-urban
296,Children (0-14),Middle Income,51.66,Semi-urban
297,Children (0-14),High Income,57.12,Semi-urban
298,Elderly (65+),Middle Income,76.75,Rural
299,Children (0-14),Middle Income,70.44,Urban
300,Adults (15-64),High Income,56.1,Semi-urban
301,Elderly (65+),High Income,87.18,Semi-urban
302,Adults (15-64),Middle Income,91.52,Rural
303,Adults (15-64),High Income,94.13,Semi-urban
304,Elderly (65+),Middle Income,48.51,Rural
305,Children (0-14),Middle Income,80.06,Semi-urban
306,Children (0-14),Middle Income,42.13,Semi-urban
307,Elderly (65+),High Income,89.52,Rural
308,Adults (15-64),Low Income,55.23,Urban
309,Children (0-14),Middle Income,87.69,Semi-urban
310,Adults (15-64),Low Income,91.9,Urban
311,Children (0-14),High Income,77.68,Semi-urban
312,Elderly (65+),High Income,71.75,Urban
313,Elderly (65+),Middle Income,67.21,Rural
314,Adults (15-64),Low Income,91.84,Semi-urban
315,Adults (15-64),Low Income,42.83,Rural
316,Adults (15-64),Low Income,85.63,Semi-urban
317,Elderly (65+),High Income,51.99,Rural
318,Elderly (65+),Middle Income,70.0,Semi-urban
319,Children (0-14),High Income,42.73,Semi-urban
320,Adults (15-64),Middle Income,64.32,Urban
321,Children (0-14),Low Income,57.72,Semi-urban
322,Adults (15-64),High Income,93.94,Semi-urban
323,Children (0-14),Middle Income,54.78,Urban
324,Elderly (65+),Low Income,44.12,Rural
325,Adults (15-64),High Income,51.45,Urban
326,Children (0-14),Middle Income,81.2,Semi-urban
327,Children (0-14),Low Income,73.35,Semi-urban
328,Elderly (65+),Middle Income,91.03,Urban
329,Elderly (65+),Low Income,74.21,Rural
330,Children (0-14),Middle Income,72.23,Urban
331,Adults (15-64),Middle Income,61.09,Rural
332,Children (0-14),Middle Income,86.68,Urban
333,Elderly (65+),Low Income,45.15,Rural
334,Adults (15-64),Low Income,52.33,Urban
335,Elderly (65+),High Income,40.01,Urban
336,Adults (15-64),Middle Income,74.21,Semi-urban
337,Adults (15-64),Middle Income,46.83,Semi-urban
338,Elderly (65+),High Income,57.44,Rural
339,Elderly (65+),High Income,76.9,Urban
340,Elderly (65+),Low Income,81.81,Rural
341,Elderly (65+),Middle Income,89.72,Rural
342,Elderly (65+),Middle Income,49.64,Rural
343,Elderly (65+),High Income,61.6,Urban
344,Elderly (65+),Low Income,71.84,Rural
345,Children (0-14),High Income,61.81,Semi-urban
346,Elderly (65+),High Income,50.46,Urban
347,Elderly (65+),Middle Income,67.35,Rural
348,Elderly (65+),Low Income,76.65,Rural
349,Adults (15-64),High Income,56.21,Semi-urban
350,Adults (15-64),High Income,74.23,Urban
351,Children (0-14),Middle Income,55.62,Rural
352,Children (0-14),Low Income,47.9,Urban
353,Children (0-14),Low Income,41.61,Semi-urban
354,Adults (15-64),High Income,67.27,Rural
355,Children (0-14),Low Income,48.88,Rural
356,Elderly (65+),Low Income,90.34,Urban
357,Elderly (65+),Low Income,49.98,Semi-urban
358,Elderly (65+),Middle Income,78.98,Rural
359,Children (0-14),Low Income,52.35,Semi-urban
360,Adults (15-64),Middle Income,70.15,Urban
361,Adults (15-64),Low Income,59.79,Urban
362,Elderly (65+),Middle Income,59.52,Urban
363,Adults (15-64),Low Income,83.68,Rural
364,Elderly (65+),Low Income,41.56,Urban
365,Adults (15-64),Low Income,62.8,Semi-urban
366,Adults (15-64),High Income,80.81,Rural
367,Adults (15-64),Middle Income,67.4,Urban
368,Children (0-14),Low Income,90.09,Rural
369,Elderly (65+),Low Income,60.66,Urban
370,Adults (15-64),High Income,75.6,Rural
371,Adults (15-64),High Income,73.63,Semi-urban
372,Children (0-14),High Income,82.66,Rural
373,Children (0-14),Low Income,81.81,Rural
374,Elderly (65+),High Income,93.39,Urban
375,Adults (15-64),High Income,57.1,Rural
376,Children (0-14),High Income,46.72,Urban
377,Elderly (65+),Low Income,70.8,Urban
378,Elderly (65+),High Income,61.66,Urban
379,Elderly (65+),High Income,94.14,Semi-urban
380,Children (0-14),High Income,93.38,Urban
381,Children (0-14),Middle Income,47.87,Rural
382,Children (0-14),Middle Income,53.94,Urban
383,Children (0-14),Middle Income,90.32,Urban
384,Children (0-14),Middle Income,94.92,Rural
385,Elderly (65+),Low Income,49.66,Urban
386,Children (0-14),Low Income,66.63,Semi-urban
387,Children (0-14),High Income,43.44,Rural
388,Elderly (65+),Middle Income,90.89,Rural
389,Elderly (65+),Middle Income,84.85,Semi-urban
390,Adults (15-64),High Income,80.17,Urban
391,Elderly (65+),Middle Income,89.27,Urban
392,Children (0-14),High Income,75.85,Semi-urban
393,Adults (15-64),Low Income,67.88,Rural
394,Adults (15-64),Low Income,85.25,Rural
395,Adults (15-64),Middle Income,73.38,Semi-urban
396,Adults (15-64),High Income,49.78,Urban
397,Elderly (65+),Low Income,79.25,Semi-urban
398,Children (0-14),Low Income,61.13,Urban
399,Adults (15-64),High Income,81.47,Rural
400,Elderly (65+),Low Income,59.11,Rural
401,Elderly (65+),High Income,50.36,Rural
402,Children (0-14),High Income,54.99,Semi-urban
403,Elderly (65+),Low Income,69.29,Rural
404,Children (0-14),Middle Income,75.76,Rural
405,Adults (15-64),Low Income,66.65,Semi-urban
406,Children (0-14),Middle Income,80.73,Semi-urban
407,Elderly (65+),Low Income,58.6,Semi-urban
408,Elderly (65+),High Income,69.73,Rural
409,Adults (15-64),High Income,42.41,Rural
410,Adults (15-64),Low Income,90.65,Urban
411,Adults (15-64),High Income,87.63,Urban
412,Adults (15-64),Low Income,87.05,Urban
413,Adults (15-64),High Income,46.82,Urban
414,Children (0-14),Middle Income,86.51,Urban
415,Elderly (65+),High Income,68.92,Rural
416,Elderly (65+),Low Income,59.15,Semi-urban
417,Elderly (65+),Middle Income,57.26,Urban
418,Adults (15-64),High Income,74.96,Urban
419,Children (0-14),Low Income,64.26,Semi-urban
420,Children (0-14),High Income,93.6,Rural
421,Elderly (65+),Low Income,84.29,Urban
422,Elderly (65+),Low Income,64.54,Semi-urban
423,Elderly (65+),Middle Income,44.74,Rural
424,Children (0-14),Low Income,46.89,Semi-urban
425,Elderly (65+),High Income,62.61,Rural
426,Adults (15-64),Low Income,44.57,Semi-urban
427,Children (0-14),Middle Income,91.77,Semi-urban
428,Adults (15-64),Middle Income,89.36,Rural
429,Children (0-14),High Income,86.87,Semi-urban
430,Elderly (65+),Middle Income,47.91,Rural
431,Children (0-14),High Income,73.2,Semi-urban
432,Elderly (65+),Middle Income,87.99,Rural
433,Adults (15-64),Middle Income,52.22,Rural
434,Elderly (65+),Middle Income,73.06,Rural
435,Elderly (65+),High Income,60.27,Semi-urban
436,Children (0-14),Low Income,40.39,Urban
437,Children (0-14),Middle Income,79.82,Urban
438,Children (0-14),High Income,57.88,Semi-urban
439,Adults (15-64),Low Income,68.11,Semi-urban
440,Children (0-14),Middle Income,87.62,Urban
441,Children (0-14),High Income,85.33,Semi-urban
442,Elderly (65+),High Income,71.0,Semi-urban
443,Children (0-14),High Income,89.89,Urban
444,Elderly (65+),Low Income,86.73,Rural
445,Adults (15-64),Middle Income,70.64,Rural
446,Adults (15-64),Middle Income,42.51,Semi-urban
447,Adults (15-64),Low Income,80.94,Urban
448,Children (0-14),Middle Income,74.35,Urban
449,Adults (15-64),High Income,82.39,Urban
450,Elderly (65+),High Income,53.66,Semi-urban
451,Children (0-14),Low Income,58.39,Semi-urban
452,Elderly (65+),High Income,66.31,Rural
453,Children (0-14),High Income,75.15,Rural
454,Elderly (65+),Low Income,41.39,Rural
455,Adults (15-64),Low Income,85.52,Semi-urban
456,Adults (15-64),Middle Income,48.18,Semi-urban
457,Children (0-14),Low Income,61.31,Rural
458,Children (0-14),High Income,42.43,Urban
459,Children (0-14),Middle Income,70.0,Semi-urban
460,Adults (15-64),Middle Income,58.17,Urban
461,Adults (15-64),Low Income,71.71,Urban
462,Elderly (65+),Middle Income,71.03,Semi-urban
463,Adults (15-64),Middle Income,84.86,Semi-urban
464,Children (0-14),Low Income,92.63,Urban
465,Elderly (65+),Low Income,56.43,Urban
466,Children (0-14),Low Income,82.8,Urban
467,Children (0-14),Low Income,64.86,Semi-urban
468,Adults (15-64),Middle Income,79.85,Semi-urban
469,Adults (15-64),Low Income,47.21,Semi-urban
470,Children (0-14),Middle Income,84.87,Semi-urban
471,Children (0-14),Low Income,41.08,Rural
472,Children (0-14),Low Income,43.41,Urban
473,Elderly (65+),Low Income,71.25,Urban
474,Elderly (65+),Middle Income,59.16,Semi-urban
475,Elderly (65+),Low Income,61.04,Urban
476,Elderly (65+),High Income,87.63,Rural
477,Children (0-14),Middle Income,43.15,Urban
478,Elderly (65+),Middle Income,85.75,Semi-urban
479,Children (0-14),Low Income,43.44,Urban
480,Children (0-14),Low Income,82.82,Rural
481,Children (0-14),High Income,85.68,Urban
482,Children (0-14),Middle Income,60.59,Urban
483,Adults (15-64),Middle Income,83.62,Rural
484,Elderly (65+),Middle Income,51.0,Rural
485,Adults (15-64),Middle Income,90.76,Semi-urban
486,Adults (15-64),High Income,90.64,Rural
487,Adults (15-64),Middle Income,61.32,Urban
488,Elderly (65+),Middle Income,51.69,Urban
489,Elderly (65+),Middle Income,73.03,Semi-urban
490,Children (0-14),Low Income,46.77,Semi-urban
491,Elderly (65+),High Income,93.24,Rural
492,Children (0-14),Low Income,55.01,Urban
493,Adults (15-64),Middle Income,88.05,Semi-urban
494,Adults (15-64),Middle Income,93.02,Rural
495,Adults (15-64),Low Income,84.47,Semi-urban
496,Children (0-14),Low Income,48.27,Semi-urban
497,Children (0-14),Middle Income,74.58,Semi-urban
498,Children (0-14),High Income,44.79,Rural
499,Children (0-14),High Income,48.2,Rural
500,Elderly (65+),Low Income,92.87,Semi-urban
501,Elderly (65+),High Income,59.62,Urban
502,Adults (15-64),Low Income,82.93,Urban
503,Elderly (65+),Middle Income,48.25,Rural
504,Elderly (65+),Middle Income,85.82,Urban
505,Adults (15-64),Middle Income,51.52,Rural
506,Adults (15-64),High Income,68.18,Rural
507,Elderly (65+),Low Income,68.39,Semi-urban
508,Adults (15-64),Low Income,68.21,Rural
509,Adults (15-64),Middle Income,55.3,Rural
510,Children (0-14),Low Income,59.08,Rural
511,Adults (15-64),Middle Income,53.63,Semi-urban
512,Children (0-14),Low Income,66.69,Rural
513,Adults (15-64),Low Income,41.4,Urban
514,Adults (15-64),Middle Income,73.59,Semi-urban
515,Children (0-14),Low Income,50.17,Rural
516,Elderly (65+),Low Income,85.85,Urban
517,Children (0-14),Low Income,58.34,Rural
518,Elderly (65+),High Income,49.57,Semi-urban
519,Elderly (65+),Low Income,58.7,Rural
520,Children (0-14),Middle Income,48.83,Urban
521,Elderly (65+),Middle Income,83.9,Urban
522,Children (0-14),Middle Income,72.94,Semi-urban
523,Adults (15-64),Middle Income,46.87,Rural
524,Children (0-14),High Income,63.81,Rural
525,Children (0-14),Middle Income,40.14,Rural
526,Adults (15-64),Middle Income,55.74,Rural
527,Elderly (65+),Middle Income,68.44,Rural
528,Children (0-14),Middle Income,76.34,Urban
529,Elderly (65+),Low Income,72.41,Urban
530,Children (0-14),High Income,73.71,Urban
531,Elderly (65+),Middle Income,66.31,Urban
532,Elderly (65+),Low Income,40.5,Urban
533,Elderly (65+),High Income,66.69,Semi-urban
534,Elderly (65+),High Income,92.15,Semi-urban
535,Children (0-14),Middle Income,90.85,Rural
536,Elderly (65+),Middle Income,44.93,Urban
537,Children (0-14),Low Income,44.51,Urban
538,Elderly (65+),Middle Income,80.2,Semi-urban
539,Elderly (65+),Low Income,47.36,Urban
540,Elderly (65+),Low Income,61.56,Semi-urban
541,Adults (15-64),Middle Income,87.73,Urban
542,Adults (15-64),High Income,85.43,Semi-urban
543,Children (0-14),High Income,79.87,Rural
544,Elderly (65+),High Income,83.65,Rural
545,Elderly (65+),Middle Income,93.2,Urban
546,Elderly (65+),Middle Income,93.91,Semi-urban
547,Children (0-14),Middle Income,57.19,Rural
548,Elderly (65+),Middle Income,84.8,Rural
549,Children (0-14),High Income,46.24,Urban
550,Elderly (65+),Low Income,52.88,Semi-urban
551,Children (0-14),High Income,89.16,Urban
552,Elderly (65+),Low Income,57.44,Urban
553,Elderly (65+),Low Income,86.43,Semi-urban
554,Elderly (65+),Middle Income,83.38,Urban
555,Elderly (65+),High Income,72.88,Rural
556,Adults (15-64),Middle Income,72.02,Rural
557,Children (0-14),High Income,75.51,Semi-urban
558,Adults (15-64),Middle Income,63.44,Rural
559,Elderly (65+),High Income,41.34,Rural
560,Adults (15-64),High Income,61.63,Semi-urban
561,Adults (15-64),High Income,90.78,Urban
562,Adults (15-64),Middle Income,54.17,Urban
563,Children (0-14),High Income,74.23,Rural
564,Adults (15-64),Low Income,74.01,Rural
565,Adults (15-64),High Income,47.16,Semi-urban
566,Children (0-14),Low Income,53.62,Rural
567,Elderly (65+),Middle Income,59.36,Semi-urban
568,Adults (15-64),Low Income,70.19,Urban
569,Adults (15-64),Middle Income,54.98,Urban
570,Children (0-14),Middle Income,82.53,Rural
571,Elderly (65+),Middle Income,82.46,Urban
572,Children (0-14),Middle Income,76.26,Rural
573,Adults (15-64),Middle Income,65.57,Rural
574,Adults (15-64),Low Income,44.58,Rural
575,Adults (15-64),High Income,85.81,Urban
576,Adults (15-64),Middle Income,63.36,Rural
577,Adults (15-64),Low Income,45.85,Urban
578,Adults (15-64),High Income,79.87,Rural
579,Adults (15-64),High Income,58.51,Urban
580,Adults (15-64),Middle Income,62.45,Rural
581,Children (0-14),Middle Income,40.11,Semi-urban
582,Children (0-14),Middle Income,89.97,Urban
583,Children (0-14),Middle Income,77.55,Urban
584,Adults (15-64),Low Income,89.56,Rural
585,Children (0-14),Middle Income,67.15,Urban
586,Children (0-14),Middle Income,59.07,Rural
587,Elderly (65+),Middle Income,50.12,Rural
588,Children (0-14),Middle Income,66.99,Rural
