Healthcare_key,Facility_name,Bed_capacity,Medical_staff,Antimalarial_stock,Has_lab_facilities,Distance_to_communities
81,District Hospital 81,199,33,775,False,24.84
82,Community Clinic 82,54,28,394,True,2.08
83,Health Center 83,14,48,767,False,27.91
84,District Hospital 84,55,30,781,False,25.47
85,Health Center 85,58,50,750,True,10.72
86,Community Clinic 86,33,44,146,True,14.79
87,District Hospital 87,87,35,597,False,16.36
88,District Hospital 88,69,37,459,False,6.63
89,Health Center 89,51,21,804,True,18.43
90,Health Center 90,155,33,221,False,23.77
91,Community Clinic 91,46,49,205,True,1.35
92,District Hospital 92,54,5,760,False,1.88
93,Community Clinic 93,174,6,425,False,11.68
94,Community Clinic 94,59,26,360,False,24.57
95,Health Center 95,84,10,105,False,13.08
96,Health Center 96,78,19,893,False,2.49
97,Health Center 97,167,21,963,False,11.67
98,District Hospital 98,45,10,253,False,17.41
99,Health Center 99,30,44,724,False,12.34
100,Health Center 100,153,44,540,True,8.82
101,District Hospital 101,140,26,671,True,24.76
102,Community Clinic 102,199,38,599,True,9.55
103,District Hospital 103,86,18,974,False,18.83
104,Health Center 104,85,41,499,False,3.69
105,Community Clinic 105,105,18,680,False,1.23
106,District Hospital 106,33,37,435,True,9.88
107,District Hospital 107,109,27,380,False,17.03
108,Community Clinic 108,78,8,153,False,22.47
109,Community Clinic 109,32,9,233,False,16.97
110,Community Clinic 110,104,15,611,False,22.89
111,Community Clinic 111,64,24,583,False,4.03
112,Community Clinic 112,142,44,226,True,27.96
113,Community Clinic 113,14,22,440,True,26.16
114,District Hospital 114,192,30,822,True,10.57
115,Health Center 115,44,15,511,True,18.93
116,Community Clinic 116,97,39,277,False,28.34
117,Community Clinic 117,144,46,236,True,16.84
118,Health Center 118,157,38,155,True,12.03
119,Community Clinic 119,75,44,974,True,2.76
120,Health Center 120,193,25,575,True,1.27
121,Health Center 121,159,6,133,False,18.71
122,District Hospital 122,171,11,429,False,24.99
123,District Hospital 123,197,47,761,False,22.31
124,District Hospital 124,157,34,993,False,2.62
125,District Hospital 125,25,8,956,False,15.27
126,Community Clinic 126,156,50,373,False,23.37
127,Health Center 127,180,23,898,True,14.84
128,Health Center 128,91,23,281,False,24.62
129,Community Clinic 129,153,46,236,False,26.51
130,Community Clinic 130,194,50,852,False,20.09
131,District Hospital 131,25,39,772,True,13.98
132,Community Clinic 132,84,39,478,True,7.36
133,Health Center 133,76,46,210,True,18.64
134,Health Center 134,190,36,607,False,29.68
135,Community Clinic 135,95,36,531,True,6.37
136,Community Clinic 136,75,32,585,False,22.69
137,District Hospital 137,147,31,134,True,10.04
138,Community Clinic 138,47,39,405,True,12.39
139,Community Clinic 139,36,34,369,True,26.32
140,Community Clinic 140,13,39,272,False,14.87
141,Community Clinic 141,181,16,105,False,2.91
142,Community Clinic 142,128,14,436,True,28.03
143,District Hospital 143,80,39,879,True,11.44
144,Health Center 144,91,44,963,True,20.7
145,Community Clinic 145,109,40,821,False,14.29
146,Community Clinic 146,55,36,889,False,16.92
147,District Hospital 147,85,39,493,False,19.61
148,Community Clinic 148,110,47,687,False,9.63
149,District Hospital 149,133,29,408,False,18.16
150,District Hospital 150,34,35,804,True,13.2
151,Community Clinic 151,82,37,579,False,12.5
152,Health Center 152,122,14,659,False,3.09
153,District Hospital 153,196,32,570,False,24.49
154,District Hospital 154,127,31,108,True,7.73
155,District Hospital 155,101,26,966,True,13.71
156,Health Center 156,45,20,219,False,29.03
157,Health Center 157,135,34,181,True,29.83
158,District Hospital 158,55,5,653,True,29.8
159,Community Clinic 159,189,32,730,False,19.93
160,District Hospital 160,22,29,807,True,13.83
161,Community Clinic 161,62,12,306,True,28.15
162,District Hospital 162,172,36,736,True,22.89
163,Health Center 163,41,13,372,False,18.75
164,District Hospital 164,81,44,686,False,13.09
165,Health Center 165,39,26,787,False,26.16
166,Community Clinic 166,194,40,227,False,22.24
167,Health Center 167,140,40,750,True,6.41
168,District Hospital 168,30,49,630,True,20.54
169,Health Center 169,134,13,802,False,11.15
170,District Hospital 170,169,42,807,True,13.77
171,Community Clinic 171,176,38,194,False,21.12
172,District Hospital 172,122,40,316,True,22.65
173,Community Clinic 173,186,46,602,True,27.99
174,Health Center 174,184,34,295,False,1.1
175,Community Clinic 175,88,28,229,False,14.33
176,Community Clinic 176,81,16,683,False,26.42
177,Health Center 177,169,15,828,True,0.99
178,Community Clinic 178,163,34,623,False,24.21
179,Community Clinic 179,23,47,439,False,9.16
180,District Hospital 180,118,21,205,False,6.62
181,Community Clinic 181,58,33,185,False,24.36
182,Health Center 182,144,21,178,True,8.83
183,Health Center 183,162,14,296,False,25.96
184,Health Center 184,156,5,406,True,14.1
185,District Hospital 185,152,16,222,True,29.82
186,Health Center 186,154,5,455,False,26.29
187,District Hospital 187,86,44,482,True,7.72
188,Community Clinic 188,153,46,596,True,20.03
189,District Hospital 189,194,46,665,True,21.73
190,Community Clinic 190,185,31,196,True,10.06
191,District Hospital 191,29,44,830,True,22.39
192,Health Center 192,145,17,509,True,16.25
193,Community Clinic 193,116,44,157,False,26.13
194,District Hospital 194,109,12,691,True,20.76
195,District Hospital 195,82,23,455,False,21.99
196,Health Center 196,139,8,819,True,10.37
197,District Hospital 197,32,22,181,True,7.67
198,Health Center 198,182,34,281,False,6.14
199,Health Center 199,167,14,103,False,14.2
200,District Hospital 200,113,8,266,True,20.24
201,Health Center 201,43,13,908,True,19.73
202,District Hospital 202,126,35,263,False,9.08
203,District Hospital 203,101,46,720,True,10.54
204,Community Clinic 204,96,22,882,True,16.38
205,District Hospital 205,52,47,495,False,29.17
206,District Hospital 206,13,17,134,False,10.78
207,Community Clinic 207,174,20,787,True,14.62
208,District Hospital 208,166,30,235,True,21.25
209,Community Clinic 209,18,7,118,True,13.66
210,Community Clinic 210,176,37,644,False,7.21
211,Community Clinic 211,96,49,335,True,19.67
212,Community Clinic 212,118,22,600,False,15.31
213,Health Center 213,134,48,952,True,1.37
214,District Hospital 214,70,13,864,False,4.77
215,Community Clinic 215,49,35,614,False,10.81
216,District Hospital 216,95,42,646,False,4.18
217,District Hospital 217,126,41,921,True,19.66
218,District Hospital 218,163,37,872,False,28.59
219,Health Center 219,25,10,555,True,5.83
220,Health Center 220,17,27,353,True,3.7
221,District Hospital 221,57,40,520,True,25.59
222,Community Clinic 222,17,30,170,False,17.56
223,Community Clinic 223,142,28,748,True,4.94
224,District Hospital 224,91,19,876,False,21.6
225,District Hospital 225,25,22,164,True,1.2
226,District Hospital 226,98,14,217,True,12.28
227,Health Center 227,164,37,510,False,4.54
228,District Hospital 228,167,46,182,True,15.08
229,District Hospital 229,77,48,353,False,4.17
230,Health Center 230,114,13,184,True,23.39
231,District Hospital 231,91,29,175,True,12.46
232,District Hospital 232,23,20,372,False,5.07
233,District Hospital 233,82,16,959,True,24.14
234,District Hospital 234,20,22,177,True,18.23
235,Community Clinic 235,74,37,326,True,3.01
236,Community Clinic 236,14,44,906,False,13.96
237,Community Clinic 237,199,26,287,False,19.57
238,District Hospital 238,75,47,655,False,4.02
239,District Hospital 239,169,38,826,False,29.26
240,District Hospital 240,92,35,553,True,9.85
241,Community Clinic 241,105,7,240,False,2.56
242,Health Center 242,125,8,406,False,13.75
243,District Hospital 243,13,33,345,False,22.84
244,Health Center 244,22,37,796,False,15.77
245,District Hospital 245,146,49,551,False,21.52
246,Community Clinic 246,157,46,217,True,22.44
247,District Hospital 247,58,27,633,True,7.8
248,District Hospital 248,119,37,816,False,29.74
249,Health Center 249,65,48,815,True,29.9
250,Health Center 250,127,33,168,True,21.91
251,Health Center 251,22,32,216,True,28.03
252,District Hospital 252,93,36,462,False,4.48
253,Health Center 253,49,43,425,False,28.43
254,Health Center 254,34,36,314,True,12.38
255,Community Clinic 255,10,11,508,False,23.33
256,Community Clinic 256,168,26,319,True,8.72
257,District Hospital 257,199,48,301,False,26.67
258,Health Center 258,109,22,144,False,13.68
259,District Hospital 259,66,30,553,False,20.5
260,Health Center 260,75,20,311,False,27.78
261,District Hospital 261,49,50,996,True,4.59
262,Health Center 262,166,8,536,True,12.07
263,Health Center 263,101,10,597,False,8.54
264,Community Clinic 264,153,30,107,True,1.57
265,Health Center 265,195,10,527,False,14.85
266,Community Clinic 266,165,21,594,False,15.92
267,District Hospital 267,69,18,273,False,23.9
268,Community Clinic 268,80,42,526,True,29.46
269,District Hospital 269,53,5,448,False,2.11
270,Health Center 270,69,47,259,True,5.32
271,District Hospital 271,106,36,999,True,13.52
272,Health Center 272,120,31,144,False,28.28
273,District Hospital 273,12,26,748,False,28.56
274,District Hospital 274,87,9,985,True,8.45
275,Community Clinic 275,130,26,214,True,28.78
276,District Hospital 276,101,20,414,False,6.2
277,Community Clinic 277,182,11,756,False,28.37
278,District Hospital 278,19,48,751,True,4.73
279,District Hospital 279,154,15,995,True,28.34
280,Community Clinic 280,64,13,995,False,11.08
281,District Hospital 281,156,34,929,False,5.06
282,Community Clinic 282,132,46,601,False,4.45
283,District Hospital 283,10,35,323,False,12.19
284,Community Clinic 284,157,15,355,True,27.5
285,Health Center 285,27,38,592,False,15.8
286,Community Clinic 286,173,39,690,False,14.5
287,District Hospital 287,146,45,147,False,26.92
288,Health Center 288,32,9,990,False,6.56
289,Health Center 289,62,15,635,True,19.71
290,Health Center 290,54,50,682,True,18.79
291,Health Center 291,112,35,812,True,20.71
292,Community Clinic 292,140,46,978,True,7.23
293,Health Center 293,24,21,856,False,29.08
294,Community Clinic 294,169,30,988,True,2.85
295,District Hospital 295,165,17,432,False,8.31
296,District Hospital 296,22,31,698,True,22.29
297,Health Center 297,146,38,130,True,21.41
298,Community Clinic 298,89,25,860,False,15.59
299,District Hospital 299,113,29,129,False,6.69
300,Health Center 300,162,21,794,False,19.35
301,Health Center 301,180,50,292,False,10.95
302,Health Center 302,97,17,116,False,11.0
303,Community Clinic 303,172,22,255,False,21.1
304,Health Center 304,108,9,513,False,13.56
305,Health Center 305,31,18,129,True,6.16
306,District Hospital 306,139,6,207,False,13.96
307,Health Center 307,149,18,854,False,1.23
308,District Hospital 308,32,22,544,False,27.5
309,Community Clinic 309,109,38,359,False,7.67
310,Health Center 310,102,48,298,False,6.92
311,Health Center 311,34,24,564,False,15.92
312,Health Center 312,145,37,576,True,29.14
313,District Hospital 313,18,46,333,False,7.24
314,Community Clinic 314,186,43,991,True,5.39
315,District Hospital 315,26,12,581,False,19.0
316,Health Center 316,184,24,975,True,9.97
317,Community Clinic 317,78,24,977,True,0.7
318,Community Clinic 318,29,18,396,False,4.57
319,Community Clinic 319,29,16,798,True,9.68
320,Community Clinic 320,130,8,886,False,4.11
321,Community Clinic 321,83,27,985,True,10.82
322,Health Center 322,59,23,285,True,27.13
323,District Hospital 323,29,13,868,True,6.26
324,Community Clinic 324,22,44,290,True,9.2
325,Community Clinic 325,83,37,841,False,1.48
326,Community Clinic 326,18,35,322,True,2.4
327,District Hospital 327,176,20,176,False,28.61
328,District Hospital 328,90,19,287,False,2.61
329,Health Center 329,135,42,777,False,18.87
330,District Hospital 330,158,15,764,False,12.82
331,Health Center 331,157,30,875,False,19.16
332,Community Clinic 332,104,49,916,True,24.79
333,District Hospital 333,183,42,572,True,5.36
334,Health Center 334,42,5,681,True,10.75
335,District Hospital 335,73,21,809,False,25.07
336,Health Center 336,58,43,568,True,3.6
337,District Hospital 337,78,41,122,True,4.52
338,Community Clinic 338,122,11,588,True,3.04
339,Health Center 339,96,24,847,False,27.24
340,District Hospital 340,167,21,366,True,24.83
341,District Hospital 341,121,33,526,True,23.46
342,Health Center 342,81,14,990,True,21.07
343,Community Clinic 343,188,28,505,True,17.23
344,District Hospital 344,193,40,428,False,23.37
345,District Hospital 345,151,21,452,False,4.66
346,District Hospital 346,49,31,942,True,8.23
347,Community Clinic 347,136,5,280,False,17.74
348,Health Center 348,157,26,427,False,29.54
349,Community Clinic 349,113,38,225,True,1.6
350,Health Center 350,154,20,225,False,25.76
351,Community Clinic 351,53,21,116,False,13.33
352,Health Center 352,183,11,998,False,6.5
353,Health Center 353,154,31,854,False,16.36
354,Health Center 354,34,47,604,False,11.47
355,District Hospital 355,150,37,152,False,2.61
356,Health Center 356,71,14,888,False,1.15
357,Health Center 357,62,38,669,True,16.5
358,Community Clinic 358,86,37,510,False,16.93
359,Community Clinic 359,174,41,230,True,19.78
360,Health Center 360,123,17,593,True,4.02
361,Health Center 361,37,42,104,False,1.21
362,District Hospital 362,199,39,593,False,4.25
363,Community Clinic 363,114,27,647,False,19.69
364,Community Clinic 364,175,11,554,False,7.42
365,Community Clinic 365,188,41,464,True,13.9
366,District Hospital 366,140,8,173,True,28.72
367,District Hospital 367,165,24,571,True,22.64
368,Community Clinic 368,57,21,663,False,29.91
369,District Hospital 369,194,49,906,False,10.36
370,Health Center 370,140,50,965,True,11.46
371,Health Center 371,80,27,957,False,29.23
372,Health Center 372,93,34,495,False,4.75
373,Community Clinic 373,193,15,790,False,27.36
374,District Hospital 374,21,18,129,True,15.11
375,District Hospital 375,21,42,150,False,18.99
376,Health Center 376,81,26,578,False,13.31
377,District Hospital 377,62,31,836,False,12.41
378,District Hospital 378,120,17,544,True,13.97
379,Community Clinic 379,127,41,388,False,17.58
380,Health Center 380,33,21,681,False,8.66
381,District Hospital 381,148,40,957,False,9.93
382,Community Clinic 382,38,17,669,True,20.35
383,Community Clinic 383,14,9,666,False,4.7
384,District Hospital 384,198,11,536,False,12.38
385,Community Clinic 385,158,28,825,False,16.13
386,Health Center 386,49,16,462,True,15.63
387,Community Clinic 387,181,32,624,True,12.27
388,Community Clinic 388,182,40,131,True,10.21
389,District Hospital 389,28,22,215,True,5.82
390,Community Clinic 390,28,14,228,False,26.33
391,Community Clinic 391,191,29,572,False,14.86
392,Health Center 392,191,7,729,True,24.45
393,Health Center 393,47,12,901,True,7.0
394,Community Clinic 394,128,36,210,False,16.03
395,Community Clinic 395,184,46,964,True,21.53
396,Community Clinic 396,155,24,507,False,9.86
397,Health Center 397,40,15,895,True,2.65
398,Community Clinic 398,80,40,586,False,2.09
399,Community Clinic 399,180,19,778,True,11.8
400,District Hospital 400,89,25,782,True,16.83
401,District Hospital 401,78,32,587,True,14.48
402,Community Clinic 402,103,31,459,True,2.09
403,Community Clinic 403,79,47,792,False,29.84
404,Health Center 404,128,24,840,False,28.06
405,Health Center 405,117,35,770,False,18.17
406,Community Clinic 406,193,6,380,False,10.68
407,District Hospital 407,120,21,983,True,6.79
408,Community Clinic 408,79,42,871,False,26.33
409,Health Center 409,23,17,733,True,4.49
410,Community Clinic 410,145,19,595,True,1.43
411,District Hospital 411,161,43,934,False,29.22
412,Community Clinic 412,158,37,268,True,11.5
413,Health Center 413,64,46,580,True,3.01
414,District Hospital 414,82,20,194,False,19.25
415,Community Clinic 415,86,18,180,True,19.21
416,District Hospital 416,153,23,751,False,23.98
417,Health Center 417,38,44,131,True,16.23
418,Health Center 418,40,12,848,False,15.19
419,Community Clinic 419,94,6,159,True,22.8
420,District Hospital 420,32,43,122,False,22.06
421,Health Center 421,78,30,981,True,23.78
422,District Hospital 422,197,40,242,True,14.3
423,Health Center 423,43,22,882,True,6.45
424,District Hospital 424,137,13,951,False,2.28
425,District Hospital 425,183,37,426,True,1.6
426,District Hospital 426,143,31,877,True,15.99
427,Health Center 427,72,35,705,True,23.58
428,District Hospital 428,199,22,986,False,18.79
429,Community Clinic 429,28,28,763,True,29.77
430,District Hospital 430,74,37,779,True,3.28
431,District Hospital 431,51,5,379,True,27.56
432,Community Clinic 432,194,31,537,False,23.19
433,Community Clinic 433,140,33,736,True,1.49
434,Community Clinic 434,15,45,978,True,16.18
435,Health Center 435,158,19,664,False,15.51
436,Community Clinic 436,44,19,565,True,29.27
437,Community Clinic 437,35,6,238,True,24.84
438,Health Center 438,105,33,685,False,0.84
439,Community Clinic 439,183,26,452,False,6.81
440,Community Clinic 440,186,37,375,True,26.58
441,Health Center 441,52,10,560,False,14.49
442,Health Center 442,104,27,787,True,10.56
443,Community Clinic 443,33,11,260,True,14.26
444,Health Center 444,23,11,685,False,6.44
445,District Hospital 445,144,20,945,False,21.88
446,Health Center 446,20,34,485,True,12.27
447,Health Center 447,63,18,835,True,28.77
448,Health Center 448,163,43,197,True,25.35
449,District Hospital 449,189,50,995,False,12.32
450,Community Clinic 450,189,21,922,True,4.72
451,Health Center 451,54,38,836,True,20.81
452,District Hospital 452,142,32,154,False,23.27
453,Health Center 453,139,46,988,True,26.61
454,Health Center 454,13,25,919,True,15.64
455,Health Center 455,176,39,948,False,15.7
456,Health Center 456,78,36,510,True,14.9
457,District Hospital 457,114,17,313,False,0.51
458,District Hospital 458,19,22,886,False,9.74
459,District Hospital 459,116,35,342,False,1.88
460,District Hospital 460,94,46,840,True,8.76
461,Community Clinic 461,24,33,223,True,14.09
462,Community Clinic 462,130,7,811,True,17.43
463,District Hospital 463,44,33,853,False,3.5
464,District Hospital 464,70,22,335,True,29.88
465,Community Clinic 465,115,46,954,False,15.41
466,District Hospital 466,103,26,886,True,22.9
467,Health Center 467,69,22,516,True,19.01
468,Health Center 468,149,29,580,True,13.81
469,Community Clinic 469,91,21,851,True,1.77
470,District Hospital 470,63,24,517,False,13.46
471,Health Center 471,103,35,252,True,18.65
472,Health Center 472,148,41,992,False,12.91
473,Community Clinic 473,18,28,912,False,16.8
474,Community Clinic 474,163,6,513,True,19.78
475,Community Clinic 475,121,50,216,False,20.69
476,District Hospital 476,87,5,642,False,19.21
477,Health Center 477,131,48,962,True,2.84
478,District Hospital 478,72,37,578,True,21.42
479,Health Center 479,21,50,366,False,15.72
480,Community Clinic 480,107,50,469,True,15.23
481,District Hospital 481,28,47,806,False,11.39
482,District Hospital 482,184,37,309,True,11.67
483,Health Center 483,27,11,606,False,15.71
484,Health Center 484,155,30,392,True,11.23
485,Community Clinic 485,171,48,998,False,7.13
486,District Hospital 486,13,45,812,True,29.14
487,District Hospital 487,81,50,903,True,20.05
488,Community Clinic 488,73,18,122,True,6.0
489,Health Center 489,125,38,958,False,6.81
490,District Hospital 490,177,26,302,False,20.73
491,Health Center 491,168,49,857,False,16.87
492,Community Clinic 492,132,44,634,False,5.75
493,Health Center 493,153,9,816,False,29.49
494,Health Center 494,157,46,377,False,23.22
495,Community Clinic 495,106,50,535,False,5.76
496,District Hospital 496,173,39,932,True,15.34
497,Health Center 497,12,15,430,True,15.91
498,Community Clinic 498,32,20,443,False,0.83
499,Community Clinic 499,101,33,280,False,25.29
500,District Hospital 500,43,6,630,True,28.05
501,Health Center 501,28,20,616,True,27.67
502,Health Center 502,119,11,583,True,4.66
503,Health Center 503,15,5,145,True,20.63
504,Health Center 504,32,16,289,False,16.1
505,District Hospital 505,189,42,691,True,24.28
506,District Hospital 506,119,41,968,False,16.17
507,District Hospital 507,102,42,797,True,19.76
508,Community Clinic 508,69,47,145,False,29.71
509,District Hospital 509,155,39,290,False,17.37
510,Community Clinic 510,174,29,790,False,3.8
511,District Hospital 511,195,39,883,True,7.12
512,District Hospital 512,68,14,465,False,7.43
513,Community Clinic 513,23,40,502,False,28.69
514,District Hospital 514,28,5,201,False,14.71
515,Community Clinic 515,38,44,126,False,15.04
516,Community Clinic 516,186,40,423,True,0.78
517,District Hospital 517,12,26,556,False,19.51
518,Community Clinic 518,171,22,612,False,8.73
519,Health Center 519,24,30,642,False,12.22
520,District Hospital 520,174,47,468,False,21.33
521,Health Center 521,176,37,891,True,29.53
522,Community Clinic 522,40,24,292,False,4.9
523,Community Clinic 523,144,44,161,True,6.47
524,District Hospital 524,25,9,602,False,0.92
525,District Hospital 525,163,15,791,False,20.95
526,Community Clinic 526,58,36,499,True,4.31
527,District Hospital 527,140,44,193,False,18.69
528,District Hospital 528,155,23,680,True,24.99
529,Community Clinic 529,181,36,926,False,22.9
530,Community Clinic 530,136,47,304,True,23.28
531,Community Clinic 531,196,36,376,True,19.54
532,Health Center 532,21,12,424,False,27.92
533,Community Clinic 533,115,5,964,True,18.92
534,Health Center 534,84,42,776,True,9.75
535,Health Center 535,174,6,713,False,5.4
536,Health Center 536,196,30,757,True,28.62
537,District Hospital 537,26,48,496,False,13.99
538,Health Center 538,32,28,842,False,19.3
539,Community Clinic 539,107,27,423,True,24.38
540,Community Clinic 540,180,36,594,True,3.78
541,Community Clinic 541,179,7,122,True,14.85
542,Community Clinic 542,62,18,311,True,22.92
543,District Hospital 543,98,38,665,True,15.4
544,Health Center 544,32,17,957,True,18.11
545,Health Center 545,18,16,433,False,3.11
546,Health Center 546,34,44,698,True,5.31
547,Community Clinic 547,98,25,732,True,8.43
548,District Hospital 548,45,9,986,True,2.14
549,District Hospital 549,17,48,393,False,14.61
550,Health Center 550,44,6,842,False,6.92
551,Health Center 551,136,46,648,False,24.67
552,District Hospital 552,100,6,238,False,26.9
553,Health Center 553,64,37,991,True,22.12
554,District Hospital 554,129,24,520,False,10.93
555,Health Center 555,157,36,940,True,23.44
556,Health Center 556,91,39,978,False,28.54
557,Health Center 557,37,49,628,False,22.14
558,Community Clinic 558,15,8,411,False,7.67
559,District Hospital 559,87,21,143,True,8.02
560,Community Clinic 560,26,26,356,True,8.02
561,Community Clinic 561,94,8,906,False,8.98
562,Community Clinic 562,140,40,836,True,17.18
563,District Hospital 563,145,40,540,True,22.39
564,Health Center 564,106,20,502,False,8.75
565,Health Center 565,56,30,815,False,28.01
566,Community Clinic 566,178,39,336,False,27.73
567,Health Center 567,73,12,291,False,24.75
568,Community Clinic 568,61,11,780,False,7.63
569,Health Center 569,15,17,491,True,4.54
570,District Hospital 570,168,28,994,False,24.7
571,District Hospital 571,104,29,356,False,0.81
572,Community Clinic 572,46,40,423,True,24.52
573,Health Center 573,191,8,747,True,20.22
574,District Hospital 574,29,42,656,True,5.22
575,Community Clinic 575,106,7,836,False,3.67
576,District Hospital 576,182,28,859,True,27.22
577,Health Center 577,26,27,820,True,10.18
578,Community Clinic 578,112,32,677,True,13.26
579,Health Center 579,31,50,661,False,24.88
580,Health Center 580,14,46,514,True,29.12
581,District Hospital 581,53,32,449,True,18.68
582,Community Clinic 582,10,50,877,True,12.92
583,Health Center 583,147,39,559,False,20.67
584,Community Clinic 584,148,50,921,True,10.78
585,Community Clinic 585,151,12,503,True,3.97
586,Health Center 586,42,26,723,True,29.1
587,Health Center 587,86,34,577,True,23.03
588,Community Clinic 588,110,40,211,False,27.67
589,District Hospital 589,81,15,108,False,6.34
590,District Hospital 590,129,43,110,True,7.08
591,Health Center 591,126,19,433,False,3.11
592,Health Center 592,140,48,984,True,19.94
593,District Hospital 593,83,35,582,True,24.28
594,Community Clinic 594,121,19,136,True,26.6
595,Community Clinic 595,46,31,769,True,24.62
596,Health Center 596,62,17,203,False,3.2
597,Health Center 597,139,14,724,True,5.83
598,Health Center 598,93,16,793,True,17.05
599,Health Center 599,186,7,927,True,4.01
600,Community Clinic 600,44,22,369,True,15.07
601,District Hospital 601,145,47,734,True,14.18
602,District Hospital 602,91,49,175,False,24.57
603,Health Center 603,133,18,231,True,21.86
604,Community Clinic 604,134,45,402,False,19.43
605,District Hospital 605,40,46,227,True,26.85
606,District Hospital 606,164,6,283,True,18.88
607,District Hospital 607,87,22,732,False,20.89
608,Health Center 608,127,43,139,False,16.09
609,Health Center 609,144,31,901,True,9.07
610,District Hospital 610,50,44,989,True,3.87
611,Community Clinic 611,100,25,202,False,6.61
612,Community Clinic 612,66,44,967,True,14.03
613,Health Center 613,87,26,258,False,13.37
614,District Hospital 614,132,48,550,True,17.04
615,Community Clinic 615,96,10,816,True,28.05
616,Community Clinic 616,51,9,538,True,23.58
617,Community Clinic 617,32,18,750,False,20.89
618,Health Center 618,62,44,718,False,4.18
619,Community Clinic 619,95,31,959,False,21.93
620,Health Center 620,164,19,521,False,9.01
621,Community Clinic 621,114,30,744,True,13.27
622,Health Center 622,75,5,236,False,22.35
623,Community Clinic 623,169,36,704,True,1.97
624,District Hospital 624,131,21,323,True,20.63
625,District Hospital 625,140,25,269,True,3.23
626,District Hospital 626,145,24,813,True,15.47
627,District Hospital 627,123,24,834,False,8.45
628,Health Center 628,92,17,229,True,10.33
629,Community Clinic 629,167,49,375,True,16.34
630,District Hospital 630,79,38,223,True,29.35
