Initiative_key,Initiative_name,Start_date,End_date,Coverage_percentage
112,Community Health Worker Training,2015-10-21,2019-09-21,71.45
113,Bed Net Distribution Program,2018-05-14,2015-05-15,56.4
114,Indoor Residual Spraying Campaign,2018-06-15,2017-11-30,65.82
115,Community Health Worker Training,2021-09-03,2015-06-03,61.19
116,Malaria Awareness Campaign,2018-12-25,2016-10-05,66.05
117,Indoor Residual Spraying Campaign,2021-09-29,2022-10-10,92.58
118,Malaria Testing and Treatment Program,2016-04-12,2017-08-11,88.12
119,Malaria Awareness Campaign,2022-05-30,2018-06-20,67.21
120,Bed Net Distribution Program,2018-10-12,2019-04-22,87.72
121,Bed Net Distribution Program,2017-09-21,2021-04-21,68.97
122,Malaria Awareness Campaign,2022-11-22,2016-08-18,79.27
123,Malaria Awareness Campaign,2018-03-11,2020-12-24,55.39
124,Malaria Awareness Campaign,2018-08-20,2017-04-15,66.71
125,Malaria Awareness Campaign,2017-11-20,2022-11-20,94.51
126,Community Health Worker Training,2020-06-02,2019-01-03,75.39
127,Bed Net Distribution Program,2019-03-06,2022-04-12,70.09
128,Malaria Testing and Treatment Program,2017-09-07,2018-12-27,81.23
129,Malaria Testing and Treatment Program,2015-09-01,2015-01-31,76.83
130,Community Health Worker Training,2022-05-23,2019-06-19,58.97
131,Indoor Residual Spraying Campaign,2023-02-12,2015-08-19,81.66
132,Malaria Awareness Campaign,2019-12-12,2020-03-30,92.27
133,Indoor Residual Spraying Campaign,2020-02-13,2023-11-14,56.48
134,Malaria Testing and Treatment Program,2019-06-29,2023-03-08,62.05
135,Bed Net Distribution Program,2015-07-25,2020-05-02,68.77
136,Malaria Testing and Treatment Program,2023-01-20,2020-06-19,62.28
137,Malaria Awareness Campaign,2017-10-13,2016-04-13,89.82
138,Indoor Residual Spraying Campaign,2019-01-03,2022-03-24,85.01
139,Community Health Worker Training,2016-12-01,2020-06-23,56.68
140,Malaria Awareness Campaign,2016-11-12,2016-08-09,74.16
141,Indoor Residual Spraying Campaign,2017-11-21,2020-01-11,92.38
142,Malaria Testing and Treatment Program,2020-11-22,2021-10-07,84.81
143,Bed Net Distribution Program,2020-09-29,2020-03-20,87.4
144,Community Health Worker Training,2023-11-14,2015-11-26,65.62
145,Indoor Residual Spraying Campaign,2023-07-23,2021-08-02,91.03
146,Malaria Awareness Campaign,2015-08-25,2023-01-12,85.18
147,Malaria Testing and Treatment Program,2019-03-04,2023-07-02,54.11
148,Community Health Worker Training,2023-07-05,2023-02-05,85.07
149,Community Health Worker Training,2020-10-07,2023-12-22,74.97
150,Community Health Worker Training,2019-10-27,2015-05-16,53.54
151,Bed Net Distribution Program,2019-06-24,2015-09-21,58.48
152,Malaria Awareness Campaign,2017-11-20,2019-04-29,77.95
153,Bed Net Distribution Program,2021-10-24,2022-08-05,72.67
154,Malaria Testing and Treatment Program,2015-01-28,2021-08-17,68.35
155,Malaria Awareness Campaign,2015-10-26,2015-06-22,51.8
156,Bed Net Distribution Program,2020-01-12,2020-11-02,71.57
157,Indoor Residual Spraying Campaign,2019-09-05,2016-03-12,57.65
158,Malaria Awareness Campaign,2015-03-31,2018-02-02,73.45
159,Bed Net Distribution Program,2016-01-26,2021-10-03,77.84
160,Malaria Testing and Treatment Program,2017-02-26,2018-06-19,77.93
161,Community Health Worker Training,2018-07-11,2021-03-21,53.57
162,Malaria Testing and Treatment Program,2023-06-18,2020-12-06,60.14
163,Bed Net Distribution Program,2016-08-12,2023-07-16,50.95
164,Indoor Residual Spraying Campaign,2023-06-04,2015-03-17,68.35
165,Malaria Awareness Campaign,2018-05-20,2018-08-01,51.74
166,Bed Net Distribution Program,2020-12-07,2021-10-03,55.23
167,Community Health Worker Training,2020-11-25,2023-10-12,70.34
168,Indoor Residual Spraying Campaign,2020-07-06,2018-11-28,51.04
169,Bed Net Distribution Program,2022-04-11,2021-01-27,62.3
170,Indoor Residual Spraying Campaign,2015-11-26,2021-03-23,88.97
171,Malaria Awareness Campaign,2018-06-07,2016-06-06,85.48
172,Malaria Awareness Campaign,2019-02-11,2017-09-21,67.0
173,Malaria Testing and Treatment Program,2017-04-19,2022-12-15,83.72
174,Malaria Awareness Campaign,2016-09-20,2017-05-14,89.5
175,Malaria Awareness Campaign,2020-01-22,2016-09-01,72.6
176,Indoor Residual Spraying Campaign,2022-08-31,2015-01-01,91.47
177,Malaria Awareness Campaign,2022-11-30,2016-06-10,63.53
178,Malaria Awareness Campaign,2018-12-23,2020-12-02,78.89
179,Bed Net Distribution Program,2023-08-07,2018-10-08,50.47
180,Malaria Awareness Campaign,2021-11-30,2019-05-24,62.79
181,Malaria Awareness Campaign,2020-11-23,2022-11-21,58.78
182,Community Health Worker Training,2020-09-03,2018-06-28,81.9
183,Indoor Residual Spraying Campaign,2017-07-30,2016-05-19,93.85
184,Malaria Testing and Treatment Program,2015-03-22,2018-12-04,67.02
185,Community Health Worker Training,2015-11-06,2022-09-08,50.14
186,Community Health Worker Training,2019-02-06,2023-07-18,57.23
187,Indoor Residual Spraying Campaign,2022-08-19,2019-01-13,56.93
188,Indoor Residual Spraying Campaign,2019-08-04,2017-03-20,94.89
189,Bed Net Distribution Program,2016-11-05,2017-10-24,70.71
190,Bed Net Distribution Program,2015-09-15,2016-10-22,59.14
191,Malaria Testing and Treatment Program,2020-10-23,2017-01-15,76.2
192,Bed Net Distribution Program,2022-05-23,2018-08-06,77.28
193,Malaria Awareness Campaign,2021-05-12,2019-07-15,64.3
194,Malaria Awareness Campaign,2023-08-12,2017-12-25,65.55
195,Malaria Awareness Campaign,2015-08-25,2023-12-06,60.85
196,Community Health Worker Training,2023-12-04,2021-03-30,60.57
197,Malaria Testing and Treatment Program,2021-03-07,2020-03-08,94.49
198,Indoor Residual Spraying Campaign,2016-05-31,2017-04-14,65.75
199,Malaria Testing and Treatment Program,2020-03-21,2022-03-18,52.84
200,Indoor Residual Spraying Campaign,2018-12-19,2015-01-11,69.72
201,Malaria Awareness Campaign,2020-11-08,2021-11-05,70.47
202,Community Health Worker Training,2022-03-20,2017-06-12,53.62
203,Malaria Awareness Campaign,2019-12-01,2015-08-25,78.92
204,Indoor Residual Spraying Campaign,2020-06-07,2016-03-31,88.74
205,Bed Net Distribution Program,2020-02-05,2015-05-28,91.81
206,Bed Net Distribution Program,2022-07-12,2020-04-07,93.08
207,Community Health Worker Training,2019-05-30,2021-12-19,68.52
208,Community Health Worker Training,2022-01-22,2022-08-28,66.41
209,Indoor Residual Spraying Campaign,2020-05-17,2021-05-16,67.65
210,Bed Net Distribution Program,2020-04-05,2015-11-01,71.4
211,Malaria Testing and Treatment Program,2018-01-17,2019-07-07,70.7
212,Bed Net Distribution Program,2021-04-01,2020-06-27,67.2
213,Malaria Testing and Treatment Program,2016-02-23,2023-05-23,62.43
214,Malaria Testing and Treatment Program,2020-01-06,2020-05-13,56.98
215,Malaria Testing and Treatment Program,2020-10-16,2023-12-03,82.52
216,Malaria Testing and Treatment Program,2018-09-03,2018-06-09,53.43
217,Community Health Worker Training,2021-09-12,2021-10-13,64.07
218,Malaria Testing and Treatment Program,2020-09-07,2017-10-11,93.38
219,Bed Net Distribution Program,2018-10-03,2021-06-03,59.2
220,Malaria Awareness Campaign,2023-10-29,2019-06-24,83.99
221,Malaria Testing and Treatment Program,2015-05-15,2019-11-29,92.13
222,Bed Net Distribution Program,2020-10-02,2023-02-09,80.89
223,Malaria Testing and Treatment Program,2023-03-05,2018-12-07,57.33
224,Community Health Worker Training,2019-01-16,2019-06-07,70.06
225,Bed Net Distribution Program,2015-06-20,2022-09-18,88.17
226,Bed Net Distribution Program,2022-03-11,2015-06-05,54.84
227,Bed Net Distribution Program,2022-03-02,2022-05-09,90.19
228,Indoor Residual Spraying Campaign,2016-12-07,2016-10-27,60.58
229,Community Health Worker Training,2016-07-10,2021-09-26,57.0
230,Indoor Residual Spraying Campaign,2023-06-20,2016-10-15,87.51
231,Indoor Residual Spraying Campaign,2022-12-19,2019-10-09,91.93
232,Malaria Awareness Campaign,2019-03-05,2017-01-24,70.67
233,Community Health Worker Training,2022-11-24,2023-05-02,59.65
234,Community Health Worker Training,2023-11-08,2016-11-13,64.93
235,Community Health Worker Training,2016-06-03,2016-11-19,51.05
236,Indoor Residual Spraying Campaign,2022-03-03,2018-08-23,90.26
237,Malaria Testing and Treatment Program,2020-09-29,2020-11-22,58.26
238,Malaria Testing and Treatment Program,2016-02-20,2017-07-06,81.38
239,Malaria Awareness Campaign,2018-11-12,2016-07-18,66.15
240,Malaria Testing and Treatment Program,2016-08-26,2016-02-20,87.08
241,Malaria Testing and Treatment Program,2018-11-05,2023-01-12,81.11
242,Malaria Awareness Campaign,2022-09-06,2016-12-21,86.78
243,Community Health Worker Training,2015-07-27,2020-11-26,53.84
244,Community Health Worker Training,2019-08-24,2017-04-02,69.2
245,Bed Net Distribution Program,2015-04-30,2021-04-12,73.09
246,Bed Net Distribution Program,2021-08-30,2018-06-30,85.42
247,Community Health Worker Training,2020-07-15,2019-05-12,57.86
248,Malaria Awareness Campaign,2016-09-05,2016-06-29,67.05
249,Bed Net Distribution Program,2019-01-07,2023-04-17,61.1
250,Bed Net Distribution Program,2019-12-30,2015-08-29,59.75
251,Malaria Awareness Campaign,2023-01-01,2016-04-20,78.03
252,Malaria Testing and Treatment Program,2020-06-15,2023-10-08,76.4
253,Community Health Worker Training,2017-03-31,2023-11-17,91.0
254,Community Health Worker Training,2019-01-25,2018-05-05,65.6
255,Community Health Worker Training,2019-11-19,2015-03-16,93.46
256,Community Health Worker Training,2022-01-09,2020-09-13,82.24
257,Malaria Testing and Treatment Program,2021-05-01,2022-04-07,76.76
258,Malaria Testing and Treatment Program,2017-09-07,2015-03-21,73.45
259,Bed Net Distribution Program,2018-05-21,2019-09-10,81.23
260,Community Health Worker Training,2018-02-16,2023-05-14,54.4
261,Bed Net Distribution Program,2016-08-09,2017-03-27,92.34
262,Bed Net Distribution Program,2017-07-03,2017-01-20,50.1
263,Malaria Awareness Campaign,2015-07-21,2019-08-22,80.11
264,Indoor Residual Spraying Campaign,2015-12-06,2018-12-17,87.74
265,Bed Net Distribution Program,2023-09-12,2016-05-19,60.49
266,Malaria Testing and Treatment Program,2017-01-12,2020-07-22,88.49
267,Bed Net Distribution Program,2017-12-20,2017-10-08,85.13
268,Bed Net Distribution Program,2023-12-21,2022-11-23,79.97
269,Malaria Awareness Campaign,2017-05-27,2017-06-07,82.11
270,Malaria Awareness Campaign,2017-12-16,2023-06-26,86.97
271,Malaria Awareness Campaign,2017-07-16,2017-09-24,84.9
272,Bed Net Distribution Program,2019-06-05,2019-06-21,50.37
273,Bed Net Distribution Program,2019-06-09,2020-06-28,54.77
274,Indoor Residual Spraying Campaign,2023-11-11,2017-08-05,92.61
275,Malaria Testing and Treatment Program,2016-11-16,2015-08-13,79.15
276,Malaria Testing and Treatment Program,2016-10-27,2022-08-06,86.66
277,Bed Net Distribution Program,2023-07-22,2019-01-29,55.01
278,Bed Net Distribution Program,2022-11-04,2021-12-30,84.82
279,Community Health Worker Training,2020-12-13,2023-09-24,79.26
280,Malaria Testing and Treatment Program,2015-02-18,2017-05-30,76.12
281,Bed Net Distribution Program,2017-01-25,2022-12-31,84.49
282,Malaria Testing and Treatment Program,2019-05-14,2016-01-25,52.4
283,Malaria Awareness Campaign,2020-11-04,2018-06-19,50.6
284,Indoor Residual Spraying Campaign,2021-10-08,2022-03-18,58.35
285,Malaria Testing and Treatment Program,2017-12-31,2019-06-04,72.57
286,Malaria Awareness Campaign,2015-05-05,2021-04-17,82.35
287,Malaria Awareness Campaign,2023-12-25,2019-05-30,75.36
288,Malaria Awareness Campaign,2019-06-05,2019-06-24,70.05
289,Malaria Awareness Campaign,2015-05-01,2020-05-30,91.58
290,Indoor Residual Spraying Campaign,2021-09-20,2016-01-23,88.15
291,Malaria Testing and Treatment Program,2022-01-08,2021-07-29,51.57
292,Community Health Worker Training,2022-08-15,2019-08-04,62.97
293,Malaria Awareness Campaign,2015-10-14,2017-07-22,79.29
294,Indoor Residual Spraying Campaign,2020-06-03,2019-07-19,52.61
295,Community Health Worker Training,2016-07-04,2021-05-12,93.27
296,Malaria Testing and Treatment Program,2018-02-19,2018-05-06,55.09
297,Indoor Residual Spraying Campaign,2015-09-28,2023-08-06,73.07
298,Community Health Worker Training,2023-02-02,2019-04-18,92.97
299,Community Health Worker Training,2020-12-21,2018-11-14,73.75
300,Bed Net Distribution Program,2017-02-09,2016-02-15,83.05
301,Bed Net Distribution Program,2017-06-08,2020-03-31,80.36
302,Indoor Residual Spraying Campaign,2023-02-13,2021-04-28,94.35
303,Bed Net Distribution Program,2023-08-06,2017-11-05,84.35
304,Bed Net Distribution Program,2023-03-29,2022-10-04,92.36
305,Malaria Awareness Campaign,2021-09-19,2022-09-19,68.25
306,Indoor Residual Spraying Campaign,2016-01-03,2020-01-19,80.17
307,Malaria Awareness Campaign,2023-01-15,2022-01-31,72.89
308,Bed Net Distribution Program,2015-04-09,2022-10-25,61.91
309,Malaria Testing and Treatment Program,2023-06-12,2020-07-05,85.66
310,Community Health Worker Training,2022-11-08,2020-04-21,79.53
311,Malaria Testing and Treatment Program,2015-07-14,2015-08-21,82.69
312,Malaria Testing and Treatment Program,2022-07-19,2017-09-03,84.97
313,Community Health Worker Training,2019-06-19,2021-03-16,62.73
314,Indoor Residual Spraying Campaign,2021-04-19,2020-04-22,79.74
315,Malaria Testing and Treatment Program,2023-02-26,2021-11-12,81.93
316,Community Health Worker Training,2020-07-24,2019-01-02,77.05
317,Indoor Residual Spraying Campaign,2022-04-04,2021-07-11,62.79
318,Malaria Testing and Treatment Program,2016-06-18,2016-09-20,70.46
319,Malaria Awareness Campaign,2021-09-29,2019-06-08,66.67
320,Bed Net Distribution Program,2015-02-03,2016-10-30,62.34
321,Malaria Testing and Treatment Program,2019-10-26,2023-01-22,55.23
322,Community Health Worker Training,2017-08-03,2021-04-10,51.94
323,Indoor Residual Spraying Campaign,2023-07-22,2015-03-08,90.92
324,Bed Net Distribution Program,2016-03-18,2017-06-19,69.73
325,Malaria Awareness Campaign,2015-05-06,2019-02-23,79.36
326,Malaria Testing and Treatment Program,2019-01-09,2023-09-08,87.21
327,Malaria Testing and Treatment Program,2017-08-31,2020-08-14,54.56
328,Indoor Residual Spraying Campaign,2020-08-14,2019-11-20,84.98
329,Bed Net Distribution Program,2015-10-24,2018-01-16,86.33
330,Malaria Testing and Treatment Program,2018-07-15,2022-01-04,63.08
331,Malaria Awareness Campaign,2016-02-20,2023-05-04,90.11
332,Bed Net Distribution Program,2022-09-26,2016-02-09,93.23
333,Bed Net Distribution Program,2022-03-01,2015-04-25,63.8
334,Bed Net Distribution Program,2022-06-02,2020-01-06,51.6
335,Indoor Residual Spraying Campaign,2023-04-11,2023-04-06,88.09
336,Malaria Testing and Treatment Program,2018-02-22,2015-07-04,78.45
337,Malaria Awareness Campaign,2016-10-22,2021-02-05,85.84
338,Indoor Residual Spraying Campaign,2018-11-29,2016-11-23,50.41
339,Community Health Worker Training,2017-06-29,2017-06-26,84.7
340,Indoor Residual Spraying Campaign,2017-03-23,2022-10-05,50.78
341,Community Health Worker Training,2021-09-01,2019-01-14,89.84
342,Malaria Testing and Treatment Program,2017-03-29,2016-04-28,64.31
343,Bed Net Distribution Program,2019-04-14,2016-01-22,50.87
344,Bed Net Distribution Program,2019-09-10,2018-10-01,95.0
345,Bed Net Distribution Program,2018-05-01,2016-06-21,87.58
346,Malaria Testing and Treatment Program,2023-06-27,2015-03-01,73.87
347,Bed Net Distribution Program,2021-01-02,2016-05-11,86.16
348,Indoor Residual Spraying Campaign,2016-09-09,2015-07-13,69.57
349,Bed Net Distribution Program,2019-05-26,2016-05-28,94.23
350,Indoor Residual Spraying Campaign,2019-05-16,2020-10-13,77.62
351,Community Health Worker Training,2017-07-30,2021-02-17,55.63
352,Indoor Residual Spraying Campaign,2018-09-22,2017-04-25,65.3
353,Bed Net Distribution Program,2018-12-11,2019-05-22,72.69
354,Indoor Residual Spraying Campaign,2016-08-30,2021-05-20,94.48
355,Indoor Residual Spraying Campaign,2023-09-20,2022-10-11,93.0
356,Indoor Residual Spraying Campaign,2023-03-04,2020-03-23,65.96
357,Malaria Awareness Campaign,2018-11-19,2015-10-28,55.94
358,Malaria Testing and Treatment Program,2017-01-24,2020-05-19,72.58
359,Malaria Awareness Campaign,2021-10-05,2021-02-17,62.8
360,Community Health Worker Training,2019-07-09,2017-04-24,57.47
361,Community Health Worker Training,2022-10-25,2017-11-05,56.71
362,Malaria Testing and Treatment Program,2017-07-14,2023-09-23,63.58
363,Indoor Residual Spraying Campaign,2019-11-18,2018-10-05,52.8
364,Bed Net Distribution Program,2015-03-17,2019-06-09,54.84
365,Malaria Testing and Treatment Program,2015-12-02,2022-07-30,68.34
366,Indoor Residual Spraying Campaign,2015-06-28,2023-10-01,68.1
367,Malaria Awareness Campaign,2017-03-26,2022-12-29,62.58
368,Malaria Testing and Treatment Program,2023-03-02,2020-08-15,72.83
369,Bed Net Distribution Program,2015-09-30,2016-05-11,67.31
370,Bed Net Distribution Program,2018-12-26,2018-06-05,55.51
371,Bed Net Distribution Program,2020-09-18,2020-01-21,55.96
372,Malaria Awareness Campaign,2020-06-22,2018-07-31,54.48
373,Malaria Testing and Treatment Program,2023-08-04,2021-06-23,74.97
374,Bed Net Distribution Program,2015-03-28,2021-01-23,86.46
375,Malaria Awareness Campaign,2016-04-01,2023-11-04,53.04
376,Malaria Testing and Treatment Program,2017-06-11,2018-10-08,74.4
377,Malaria Awareness Campaign,2020-01-05,2017-11-09,52.06
378,Indoor Residual Spraying Campaign,2018-03-04,2023-08-05,89.36
379,Community Health Worker Training,2023-09-15,2021-06-27,81.69
380,Malaria Testing and Treatment Program,2018-05-21,2020-08-09,79.91
381,Malaria Testing and Treatment Program,2020-07-31,2018-10-18,93.92
382,Malaria Testing and Treatment Program,2019-05-25,2019-03-28,80.83
383,Bed Net Distribution Program,2018-12-21,2018-09-11,82.23
384,Community Health Worker Training,2017-07-15,2020-04-27,79.16
385,Malaria Testing and Treatment Program,2018-01-22,2016-07-29,60.71
386,Community Health Worker Training,2015-05-31,2018-09-25,62.94
387,Community Health Worker Training,2016-11-06,2022-09-07,84.02
388,Bed Net Distribution Program,2017-08-22,2016-01-20,72.09
389,Malaria Testing and Treatment Program,2019-11-10,2019-05-06,77.56
390,Community Health Worker Training,2015-05-23,2019-01-12,94.98
391,Malaria Testing and Treatment Program,2016-11-14,2023-07-21,50.7
392,Bed Net Distribution Program,2023-10-14,2018-03-08,65.9
393,Indoor Residual Spraying Campaign,2023-11-28,2022-05-08,60.0
394,Malaria Testing and Treatment Program,2019-09-10,2017-10-30,55.05
395,Indoor Residual Spraying Campaign,2023-02-09,2018-05-18,81.2
396,Malaria Awareness Campaign,2019-04-14,2019-03-30,63.2
397,Community Health Worker Training,2018-05-24,2015-01-18,88.78
398,Malaria Awareness Campaign,2018-01-20,2016-11-07,63.27
399,Indoor Residual Spraying Campaign,2015-02-26,2022-08-01,93.92
400,Indoor Residual Spraying Campaign,2017-03-29,2018-06-07,52.52
401,Malaria Awareness Campaign,2021-05-22,2023-02-13,61.06
402,Community Health Worker Training,2015-08-18,2018-08-16,63.04
403,Malaria Awareness Campaign,2018-08-10,2022-06-21,57.52
404,Bed Net Distribution Program,2015-03-13,2020-04-08,80.12
405,Malaria Awareness Campaign,2015-08-13,2019-03-12,75.62
406,Malaria Testing and Treatment Program,2015-05-10,2019-01-26,61.44
407,Malaria Testing and Treatment Program,2015-09-24,2020-11-07,69.4
408,Community Health Worker Training,2015-09-29,2015-09-21,92.92
409,Community Health Worker Training,2021-03-29,2022-08-06,81.28
410,Bed Net Distribution Program,2018-02-26,2022-11-28,51.26
411,Malaria Awareness Campaign,2017-04-30,2017-04-10,55.63
412,Malaria Testing and Treatment Program,2023-12-21,2017-09-23,93.01
413,Malaria Awareness Campaign,2016-05-18,2020-10-22,58.7
414,Malaria Testing and Treatment Program,2019-02-10,2017-04-09,74.63
415,Malaria Awareness Campaign,2020-01-23,2017-02-16,59.16
416,Malaria Awareness Campaign,2016-11-07,2023-02-08,90.38
417,Community Health Worker Training,2019-11-08,2022-05-30,52.95
418,Indoor Residual Spraying Campaign,2020-08-21,2021-12-26,94.04
