Weather_key,Temperature,Humidity,Rainfall,Wind_speed,Weather_pattern
65,22.43,63.84,76.63,13.67,Cloudy
66,24.01,74.4,5.4,4.16,Sunny
67,26.37,63.18,168.39,15.92,Stormy
68,32.65,69.55,58.17,0.05,Cloudy
69,24.12,76.97,47.26,13.99,Cloudy
70,27.23,62.88,115.98,18.97,Sunny
71,20.75,90.26,124.96,16.4,Sunny
72,28.97,87.9,198.33,0.2,Cloudy
73,29.91,73.27,249.98,14.35,Rainy
74,32.04,76.62,68.05,8.64,Stormy
75,25.44,75.37,286.4,6.53,Rainy
76,30.78,64.83,156.58,11.26,Cloudy
77,30.86,81.85,197.44,16.77,Rainy
78,33.33,71.54,199.34,15.19,Cloudy
79,20.4,81.48,14.11,15.4,Cloudy
80,21.26,79.07,41.41,0.55,Cloudy
81,27.73,64.56,81.19,12.97,Rainy
82,32.64,82.02,288.91,14.82,Rainy
83,34.11,68.92,217.89,14.99,Rainy
84,21.03,94.17,294.99,13.21,Sunny
85,26.97,93.57,119.94,4.4,Sunny
86,22.44,87.23,63.0,3.79,Sunny
87,27.29,85.67,150.65,12.93,Cloudy
88,31.72,87.25,286.87,7.88,Cloudy
89,32.01,94.73,251.78,16.32,Cloudy
90,22.89,72.54,119.93,17.11,Sunny
91,34.52,94.44,179.92,3.43,Stormy
92,21.32,73.44,148.53,1.65,Sunny
93,29.18,79.75,247.69,8.85,Stormy
94,27.96,86.98,87.79,11.61,Stormy
95,25.85,89.58,92.0,14.82,Cloudy
96,27.92,63.3,77.96,8.89,Rainy
97,30.76,78.83,150.72,10.12,Sunny
98,30.53,85.62,151.67,9.74,Cloudy
99,23.62,80.51,201.15,10.8,Sunny
100,34.72,85.66,80.55,19.97,Rainy
101,26.49,69.37,151.7,4.72,Cloudy
102,20.67,89.59,295.01,3.83,Rainy
103,30.49,80.81,19.4,6.47,Cloudy
104,26.44,83.17,267.35,15.52,Sunny
105,23.08,81.83,84.2,17.55,Cloudy
106,23.57,71.22,55.68,4.73,Cloudy
107,31.34,84.94,178.5,12.85,Rainy
108,26.2,84.81,260.59,4.38,Rainy
109,32.93,70.99,272.37,9.54,Sunny
110,34.76,75.75,97.75,8.13,Stormy
111,21.73,84.63,71.28,16.24,Stormy
112,23.61,83.92,218.56,9.19,Rainy
113,21.86,70.33,80.88,19.98,Rainy
114,23.42,65.31,0.78,11.86,Sunny
115,28.3,83.83,269.56,13.23,Rainy
116,21.64,84.15,101.41,17.37,Stormy
117,23.07,92.79,208.15,8.83,Rainy
118,29.82,67.61,32.61,5.71,Stormy
119,28.0,84.39,170.13,0.37,Rainy
120,28.29,79.51,89.97,13.63,Stormy
121,34.56,77.2,81.01,13.26,Rainy
122,22.87,71.18,103.58,8.65,Sunny
123,25.64,70.38,40.21,15.97,Sunny
124,31.3,77.86,11.33,1.06,Cloudy
125,31.7,84.3,25.67,18.06,Stormy
126,27.6,89.96,173.68,14.88,Cloudy
127,34.49,62.6,110.62,17.72,Cloudy
128,23.75,67.48,120.61,9.04,Stormy
129,32.7,88.79,144.1,0.86,Stormy
130,25.6,71.8,230.12,17.91,Rainy
131,27.35,73.63,71.63,5.92,Stormy
132,28.66,90.98,268.9,14.7,Cloudy
133,20.32,91.27,295.1,2.01,Sunny
134,29.53,80.95,181.38,14.44,Rainy
135,30.7,63.98,280.71,6.52,Rainy
136,28.07,71.28,23.95,7.79,Rainy
137,28.63,81.84,287.66,0.52,Sunny
138,31.72,73.41,1.77,13.06,Rainy
139,31.44,63.87,253.7,8.49,Stormy
140,21.37,90.12,285.32,2.52,Cloudy
141,24.8,94.02,228.33,3.61,Stormy
142,21.71,72.56,96.24,11.8,Cloudy
143,25.84,67.04,59.82,0.29,Cloudy
144,29.26,65.52,96.34,18.77,Sunny
145,32.52,83.66,274.53,14.44,Sunny
146,24.11,77.95,180.83,18.52,Stormy
147,20.33,91.65,189.62,14.98,Sunny
148,24.79,89.48,19.65,0.87,Rainy
149,27.02,63.44,99.86,8.5,Sunny
150,22.85,76.27,163.13,19.79,Cloudy
151,22.33,81.49,52.18,14.19,Cloudy
152,24.57,68.74,225.2,17.08,Stormy
153,23.12,71.82,218.62,3.89,Stormy
154,32.64,78.11,199.6,7.19,Sunny
155,26.89,64.91,253.12,7.76,Sunny
156,29.24,72.2,212.07,10.76,Sunny
157,27.06,85.0,145.67,16.23,Sunny
158,32.8,60.5,203.5,12.12,Sunny
159,27.72,91.99,293.97,13.15,Rainy
160,22.42,75.76,285.17,8.76,Rainy
161,22.53,74.2,32.1,9.62,Rainy
162,29.59,61.95,280.61,7.49,Cloudy
163,34.58,74.7,247.89,13.3,Cloudy
164,33.4,69.58,68.68,9.97,Cloudy
165,29.87,74.06,57.88,11.02,Stormy
166,28.18,91.77,130.2,18.63,Sunny
167,34.83,90.1,11.1,13.73,Stormy
168,30.39,77.67,29.59,6.39,Sunny
169,24.72,92.26,171.71,12.3,Rainy
170,25.61,86.54,11.53,17.19,Stormy
171,20.08,75.06,222.37,9.64,Stormy
172,21.17,79.08,12.15,16.55,Stormy
173,21.73,61.14,143.07,15.81,Rainy
174,28.87,77.77,29.89,15.03,Cloudy
175,22.62,86.98,112.48,11.63,Stormy
176,29.42,73.54,99.43,7.75,Sunny
177,32.24,87.2,128.0,19.61,Rainy
178,23.25,70.32,204.93,2.85,Rainy
179,34.14,62.36,49.95,20.0,Stormy
180,21.6,71.92,21.43,2.93,Rainy
181,21.81,91.84,206.66,9.93,Cloudy
182,20.79,77.88,226.97,2.31,Rainy
183,27.88,82.72,37.74,12.7,Sunny
184,27.06,80.69,38.27,3.5,Stormy
185,30.85,69.89,243.83,14.35,Cloudy
186,32.78,70.85,154.84,17.07,Sunny
187,24.8,68.22,67.59,3.09,Sunny
188,34.66,89.96,122.27,14.49,Sunny
189,32.28,92.13,251.6,1.91,Stormy
190,29.64,82.32,187.0,11.0,Sunny
191,22.65,87.92,15.95,12.77,Sunny
192,27.67,79.09,7.69,19.75,Rainy
193,22.98,86.74,25.52,16.35,Cloudy
194,26.19,87.28,136.87,2.15,Cloudy
195,23.78,80.26,12.33,1.25,Sunny
196,22.75,69.22,165.85,6.6,Cloudy
197,34.98,91.08,15.0,1.37,Sunny
198,20.86,79.48,52.64,19.65,Cloudy
199,30.28,62.91,286.86,4.45,Stormy
200,32.73,77.13,147.91,17.06,Rainy
201,20.91,87.67,52.8,2.48,Cloudy
202,31.84,77.69,48.21,17.67,Sunny
203,23.48,61.43,157.04,10.28,Stormy
204,34.85,73.23,41.65,17.14,Stormy
205,31.64,81.21,233.21,9.29,Sunny
206,21.24,77.24,214.05,1.06,Cloudy
207,22.98,71.25,44.61,12.2,Sunny
208,24.72,70.99,276.05,0.78,Cloudy
209,26.11,78.57,209.46,16.2,Rainy
210,22.14,66.98,105.96,4.55,Cloudy
211,26.68,66.03,64.68,12.55,Rainy
212,32.52,85.41,243.09,19.93,Stormy
213,21.24,67.7,203.46,3.11,Stormy
214,25.42,66.95,252.43,8.09,Sunny
215,34.5,66.68,176.22,10.63,Sunny
216,25.88,73.64,160.83,12.15,Sunny
217,31.98,70.65,267.55,8.68,Sunny
218,22.49,66.07,4.62,11.37,Rainy
219,27.33,65.76,16.62,2.16,Cloudy
220,33.46,94.3,224.14,18.54,Rainy
221,30.5,69.13,212.72,7.04,Cloudy
222,33.93,63.36,142.36,15.15,Rainy
223,20.76,70.56,101.62,3.78,Sunny
224,30.25,75.14,190.47,16.93,Rainy
225,33.38,80.06,79.12,8.13,Rainy
226,34.07,88.41,296.48,17.14,Sunny
227,25.53,88.19,160.68,10.92,Cloudy
228,20.99,79.69,71.58,3.65,Stormy
229,26.95,63.05,191.3,7.13,Stormy
230,33.81,66.57,265.78,13.8,Stormy
231,27.6,66.96,155.22,14.41,Stormy
232,25.83,83.19,283.42,7.02,Rainy
233,30.29,92.48,12.09,17.87,Sunny
234,28.78,82.38,287.67,16.52,Stormy
235,20.38,94.06,46.69,18.76,Sunny
236,28.64,66.51,131.5,7.61,Sunny
237,21.84,90.2,205.66,9.9,Cloudy
238,30.97,87.76,242.76,17.23,Sunny
239,24.42,93.5,55.72,17.79,Stormy
240,28.36,87.97,11.17,4.6,Sunny
241,31.47,82.29,205.4,5.73,Sunny
242,31.19,94.89,217.54,0.0,Stormy
243,21.58,85.93,120.28,7.58,Stormy
244,20.85,87.32,12.27,12.81,Sunny
245,24.46,75.82,90.03,15.13,Cloudy
246,25.78,76.64,286.71,1.81,Cloudy
247,26.4,72.42,179.12,13.83,Rainy
248,30.41,90.42,6.68,4.48,Cloudy
249,29.95,82.56,31.2,19.05,Stormy
250,23.22,69.55,169.34,17.41,Rainy
251,23.95,83.46,114.21,9.67,Stormy
252,34.75,73.03,241.12,17.51,Rainy
253,29.8,94.41,253.93,4.11,Rainy
254,27.38,80.12,100.59,9.29,Cloudy
255,30.26,89.64,30.04,7.27,Stormy
256,33.74,74.09,253.64,16.2,Cloudy
257,27.45,72.35,253.28,3.65,Sunny
258,22.29,76.22,76.03,8.02,Stormy
259,31.47,81.36,235.74,3.27,Rainy
260,28.72,72.24,206.71,3.01,Rainy
261,24.84,82.93,10.27,11.34,Cloudy
262,31.02,81.71,56.32,6.18,Sunny
263,28.46,77.86,32.86,11.93,Stormy
264,21.22,79.21,138.66,16.26,Stormy
265,25.85,83.34,34.24,7.41,Stormy
266,30.0,69.62,50.92,14.77,Cloudy
267,34.55,72.26,126.01,11.6,Cloudy
268,22.5,84.22,189.51,7.46,Cloudy
269,22.09,71.01,20.7,7.27,Rainy
270,32.7,79.36,223.74,14.25,Sunny
271,25.93,63.09,188.28,19.31,Rainy
272,21.04,74.1,229.9,3.45,Sunny
273,22.91,87.73,35.53,15.42,Rainy
274,30.77,82.59,178.29,3.09,Rainy
275,33.62,78.59,291.91,15.83,Rainy
276,24.84,76.08,38.2,6.27,Stormy
277,25.68,77.58,5.66,10.61,Stormy
278,21.72,81.07,289.09,3.71,Stormy
279,26.75,88.88,206.91,5.29,Sunny
280,29.17,90.68,294.98,6.22,Rainy
281,32.49,75.03,7.38,7.43,Sunny
282,26.69,80.36,244.6,2.56,Rainy
283,32.53,90.71,263.52,6.28,Cloudy
284,25.76,89.38,21.63,1.32,Rainy
285,30.86,77.67,73.46,10.98,Cloudy
286,25.97,78.58,29.31,6.21,Sunny
287,29.7,88.37,212.05,12.21,Cloudy
288,30.46,70.28,160.63,9.47,Sunny
289,30.3,62.08,222.44,7.93,Cloudy
290,31.36,67.16,75.32,2.79,Cloudy
291,21.97,87.18,263.84,4.25,Rainy
292,27.11,85.7,101.79,15.7,Cloudy
293,33.68,61.91,284.64,7.07,Cloudy
294,22.79,76.14,157.99,1.97,Rainy
295,23.01,80.84,288.19,5.68,Rainy
296,33.04,94.99,219.12,9.33,Sunny
297,33.19,65.31,3.02,0.18,Stormy
298,32.86,83.92,297.95,19.79,Rainy
299,34.4,91.19,184.83,15.41,Stormy
300,28.88,90.74,130.09,5.79,Cloudy
301,20.0,90.03,164.01,10.06,Cloudy
302,28.47,62.96,2.57,19.41,Rainy
303,32.59,60.06,193.41,11.71,Stormy
304,29.08,74.62,162.14,19.75,Stormy
305,21.25,82.81,194.1,2.85,Stormy
306,34.93,62.73,26.0,4.48,Cloudy
307,29.73,68.41,162.28,3.02,Rainy
308,31.59,80.83,1.48,1.46,Cloudy
309,24.82,70.31,206.51,19.72,Cloudy
310,29.65,61.01,292.62,7.5,Rainy
311,21.17,88.55,56.96,0.84,Cloudy
312,31.26,76.54,274.52,11.63,Sunny
313,33.31,62.01,77.65,12.46,Cloudy
314,26.64,88.89,91.38,14.72,Cloudy
315,20.78,78.57,128.52,19.43,Cloudy
316,22.47,78.94,141.21,4.8,Rainy
317,33.67,83.98,249.7,18.47,Sunny
318,21.0,71.23,49.12,1.53,Cloudy
319,34.94,92.25,55.66,7.57,Stormy
320,31.29,71.96,43.84,18.48,Stormy
321,26.46,91.76,293.91,19.08,Cloudy
322,23.81,63.03,170.96,0.93,Rainy
323,33.64,75.43,219.6,0.25,Cloudy
324,25.79,82.11,111.44,19.16,Rainy
325,24.81,80.15,109.73,14.76,Rainy
326,33.71,76.31,228.06,2.24,Stormy
327,29.01,71.7,101.7,7.62,Sunny
328,30.59,88.66,99.45,6.93,Cloudy
329,25.54,73.47,40.8,11.3,Rainy
330,30.07,82.47,267.3,4.98,Sunny
331,34.47,75.85,252.3,6.24,Sunny
332,25.31,87.05,162.66,11.83,Cloudy
333,23.5,71.37,145.02,8.84,Rainy
334,22.59,88.15,221.57,11.83,Cloudy
335,23.54,67.36,70.45,3.04,Cloudy
336,20.21,76.73,159.49,9.45,Sunny
337,29.7,92.61,268.23,13.63,Stormy
338,28.19,66.11,166.78,0.29,Stormy
339,31.28,90.2,30.24,10.32,Sunny
340,21.78,67.72,62.77,14.13,Rainy
341,21.81,63.44,151.25,11.2,Stormy
342,26.8,64.19,13.57,11.6,Stormy
343,31.09,70.49,99.29,4.96,Stormy
344,24.7,89.77,173.28,4.46,Stormy
345,22.21,82.28,53.93,9.46,Cloudy
346,20.15,63.04,280.73,15.37,Rainy
347,20.58,71.48,67.54,4.98,Sunny
348,21.41,76.28,257.98,8.72,Rainy
349,27.31,90.56,292.99,16.37,Sunny
350,27.32,82.51,151.96,0.32,Cloudy
351,26.85,60.95,56.0,7.88,Cloudy
352,20.59,65.17,112.28,0.33,Cloudy
353,20.08,88.48,132.41,16.04,Stormy
354,26.04,86.07,251.61,9.59,Stormy
355,25.01,94.45,238.87,16.36,Sunny
356,29.68,80.93,278.02,14.83,Sunny
357,23.43,68.4,101.47,4.79,Sunny
358,25.92,78.65,143.53,3.0,Sunny
359,22.04,87.99,12.96,18.06,Stormy
360,28.77,83.85,54.52,8.0,Cloudy
361,23.6,92.5,11.46,7.77,Stormy
362,33.78,78.68,117.27,4.5,Sunny
363,21.05,71.23,65.6,6.08,Rainy
364,22.26,80.86,188.86,5.63,Cloudy
365,27.54,84.38,245.82,14.37,Cloudy
366,27.72,93.75,189.24,8.63,Rainy
367,33.53,77.24,82.74,7.29,Rainy
368,26.25,73.13,260.91,17.33,Cloudy
369,22.29,79.0,13.05,7.02,Stormy
370,26.02,94.42,154.16,13.24,Cloudy
371,23.65,86.99,255.43,8.5,Rainy
372,20.2,79.61,219.07,2.26,Cloudy
373,20.05,77.2,217.26,13.77,Cloudy
374,28.83,93.63,233.74,3.16,Rainy
375,27.03,88.98,17.3,3.53,Stormy
376,31.18,84.76,253.79,6.27,Sunny
377,23.81,65.36,20.82,18.81,Cloudy
378,28.74,81.57,175.52,7.76,Sunny
379,28.84,89.85,38.45,2.42,Rainy
380,28.65,73.82,113.03,19.65,Rainy
381,31.3,62.54,169.94,11.23,Cloudy
382,34.32,68.15,46.33,4.53,Cloudy
383,32.93,89.41,149.97,9.19,Cloudy
384,34.03,73.51,26.49,2.92,Rainy
385,31.13,92.62,266.83,11.83,Rainy
386,29.12,76.99,107.51,18.02,Cloudy
387,32.44,88.31,220.54,9.88,Cloudy
388,32.21,84.05,109.91,16.44,Stormy
389,32.57,87.22,23.75,15.0,Sunny
390,23.0,75.92,105.71,17.34,Cloudy
391,28.86,72.94,150.13,3.37,Rainy
392,24.69,73.51,112.64,14.14,Stormy
393,25.36,74.5,78.89,10.49,Cloudy
394,20.67,66.6,183.56,12.88,Rainy
395,33.81,94.96,122.28,19.43,Cloudy
396,23.07,62.84,9.14,0.2,Rainy
397,33.01,75.15,72.76,2.77,Cloudy
398,32.59,77.7,53.02,17.45,Sunny
399,21.16,72.23,262.97,7.79,Cloudy
400,23.48,61.07,121.67,1.89,Cloudy
401,22.89,72.74,100.3,16.37,Stormy
402,21.16,84.3,183.75,11.68,Rainy
403,28.93,62.94,145.73,8.93,Stormy
404,21.9,73.79,129.02,14.79,Rainy
405,25.14,62.46,244.91,13.83,Cloudy
406,20.13,81.47,75.84,11.11,Sunny
407,26.67,61.1,149.31,18.28,Stormy
408,33.69,86.89,59.09,1.59,Cloudy
409,21.95,73.89,261.86,7.27,Cloudy
410,23.59,90.89,223.95,6.38,Sunny
411,24.01,69.59,224.73,3.83,Stormy
412,23.48,89.14,79.23,7.56,Sunny
413,29.43,67.43,14.51,15.94,Cloudy
414,26.05,63.58,231.62,7.81,Cloudy
415,26.55,84.87,18.61,13.19,Rainy
416,27.92,73.1,237.62,18.95,Rainy
417,29.26,75.57,37.63,5.92,Sunny
418,23.75,74.14,174.31,13.08,Cloudy
419,22.18,64.46,115.22,16.48,Cloudy
420,24.34,70.12,64.43,6.17,Stormy
421,27.14,82.84,160.08,14.96,Stormy
422,27.09,92.63,191.32,2.5,Rainy
423,26.9,86.36,22.25,11.4,Sunny
424,24.56,62.73,289.1,7.35,Rainy
425,22.8,70.09,102.3,16.17,Cloudy
426,28.78,64.39,82.1,4.26,Sunny
427,30.18,70.74,229.88,12.31,Cloudy
428,30.33,79.55,150.65,9.96,Rainy
429,30.57,92.5,49.15,12.29,Sunny
430,27.49,85.63,17.09,18.2,Cloudy
431,30.15,77.63,243.2,4.3,Stormy
432,26.04,73.24,143.23,0.78,Rainy
433,28.55,74.49,269.21,13.41,Sunny
434,21.63,86.76,201.88,16.87,Cloudy
435,28.72,62.38,102.78,0.06,Sunny
436,27.76,71.77,97.35,16.7,Cloudy
437,34.5,88.44,8.54,16.36,Sunny
438,23.99,74.55,147.23,10.35,Sunny
439,25.99,67.59,103.69,18.02,Sunny
440,20.44,76.95,234.39,7.53,Rainy
441,31.49,70.06,53.18,2.7,Cloudy
442,29.71,72.93,164.99,11.15,Stormy
443,23.25,79.0,95.89,15.7,Cloudy
444,20.96,61.07,253.76,14.22,Rainy
445,21.94,81.72,150.49,16.04,Rainy
446,29.16,94.06,120.23,3.94,Cloudy
447,29.37,89.25,181.7,6.8,Sunny
448,30.41,89.41,178.49,12.15,Cloudy
449,23.37,64.75,131.17,14.52,Sunny
450,34.45,68.72,136.87,12.95,Stormy
451,24.35,60.74,190.44,2.65,Stormy
452,20.46,81.07,94.28,3.54,Cloudy
453,30.02,75.26,29.58,13.15,Cloudy
454,32.41,67.62,38.04,12.28,Sunny
455,20.72,84.59,297.01,2.24,Rainy
456,29.86,89.44,210.25,12.38,Rainy
457,22.41,60.01,278.09,5.68,Sunny
458,25.34,80.66,260.58,3.15,Cloudy
459,31.61,68.11,48.22,14.82,Cloudy
460,28.0,74.98,2.28,7.59,Cloudy
461,30.54,79.26,76.12,15.75,Stormy
462,20.96,88.1,116.75,9.83,Cloudy
463,26.69,78.97,36.46,9.63,Cloudy
464,25.11,89.78,193.97,18.06,Sunny
465,22.14,62.26,227.29,13.67,Rainy
466,25.95,81.21,112.63,4.3,Sunny
467,20.77,77.69,261.0,4.99,Rainy
468,27.52,94.26,22.48,2.8,Sunny
469,23.42,67.94,67.79,10.37,Sunny
470,27.89,83.26,223.21,8.95,Stormy
471,20.84,89.57,278.72,17.6,Cloudy
472,25.83,79.65,261.35,5.8,Cloudy
473,27.99,81.85,175.02,18.04,Cloudy
474,28.95,90.06,124.48,11.41,Sunny
475,29.14,67.6,212.27,11.05,Cloudy
476,29.23,78.4,279.74,6.81,Cloudy
477,31.7,70.63,61.54,2.51,Cloudy
478,28.01,60.88,265.21,11.14,Rainy
479,22.44,79.85,112.79,11.72,Cloudy
480,27.13,89.23,79.12,4.45,Cloudy
481,29.16,63.06,83.39,1.86,Rainy
482,23.54,92.28,231.7,4.13,Rainy
483,22.96,64.58,251.48,18.58,Sunny
484,22.82,61.34,14.61,1.47,Sunny
485,20.43,84.73,191.05,17.5,Sunny
486,24.44,88.48,246.71,3.19,Cloudy
487,26.43,68.73,6.23,11.03,Cloudy
488,21.5,91.05,127.87,2.16,Cloudy
489,25.97,66.36,202.08,17.3,Sunny
490,23.32,87.23,255.34,15.28,Sunny
491,27.22,62.18,65.23,2.8,Rainy
492,28.12,74.8,154.26,11.84,Rainy
493,22.65,94.3,87.48,8.73,Rainy
494,28.87,86.09,22.28,8.91,Stormy
495,20.19,66.8,164.91,16.2,Rainy
496,28.61,62.82,141.92,13.83,Stormy
497,25.96,89.55,21.58,4.02,Stormy
498,23.68,74.28,6.21,0.6,Sunny
499,30.95,87.79,171.56,15.51,Stormy
500,31.52,85.88,108.04,19.17,Rainy
501,33.92,92.84,127.04,15.99,Rainy
502,25.61,65.59,98.38,15.9,Cloudy
503,24.9,84.26,199.46,10.48,Cloudy
504,24.14,90.75,74.78,19.9,Rainy
505,23.17,87.56,122.61,2.84,Rainy
506,25.32,69.53,147.71,14.58,Rainy
507,29.34,84.88,162.54,15.89,Sunny
508,28.09,79.82,40.75,11.98,Cloudy
509,32.63,67.02,74.18,3.72,Stormy
510,20.82,69.16,77.05,1.61,Rainy
511,23.06,70.17,47.0,13.3,Rainy
512,25.44,62.58,33.64,0.16,Cloudy
513,22.63,72.75,246.94,14.64,Sunny
514,29.58,81.47,169.96,17.12,Rainy
515,30.03,90.7,266.58,6.93,Sunny
516,23.12,93.66,54.01,14.08,Stormy
517,22.19,87.66,91.33,6.95,Cloudy
518,30.43,86.68,108.55,1.19,Stormy
519,27.72,64.08,288.19,6.39,Rainy
520,25.9,67.46,210.28,3.26,Stormy
521,23.62,73.26,135.67,8.77,Cloudy
522,28.0,93.3,261.98,8.39,Sunny
523,29.64,91.07,204.6,12.04,Cloudy
524,28.69,81.94,232.24,2.1,Rainy
525,26.75,93.28,223.7,17.64,Cloudy
526,28.29,78.45,34.07,6.52,Sunny
527,22.66,67.45,89.62,4.42,Stormy
528,22.18,83.05,183.27,8.2,Stormy
529,32.42,88.12,297.73,5.41,Cloudy
530,34.14,66.49,113.38,6.45,Stormy
531,29.22,66.18,283.22,13.18,Stormy
532,33.11,62.95,86.25,10.41,Sunny
533,23.43,75.69,292.32,17.75,Cloudy
534,23.04,71.92,267.02,9.46,Rainy
535,31.09,60.36,241.37,1.78,Rainy
536,27.73,94.6,257.54,16.86,Cloudy
537,21.6,87.38,156.87,19.9,Sunny
538,21.48,85.67,176.71,4.24,Stormy
539,25.69,77.64,288.79,6.81,Cloudy
540,27.24,68.77,147.89,4.75,Stormy
541,24.76,83.75,74.79,3.5,Sunny
542,26.84,63.14,54.51,5.77,Sunny
543,27.31,77.19,230.54,9.55,Sunny
544,22.68,68.85,4.54,16.73,Sunny
545,29.75,79.12,65.41,11.52,Stormy
546,29.55,85.59,69.71,8.08,Cloudy
547,21.13,93.31,12.4,0.92,Rainy
548,27.15,60.77,46.25,9.12,Cloudy
549,32.72,82.18,133.55,6.92,Sunny
550,30.95,79.62,102.06,12.3,Rainy
551,26.87,79.35,251.04,12.61,Cloudy
552,20.69,83.53,97.92,6.46,Rainy
553,31.77,93.11,1.67,4.6,Sunny
554,25.73,64.84,180.92,8.85,Sunny
555,26.89,89.32,29.65,4.05,Stormy
556,20.89,76.67,283.45,11.41,Rainy
557,27.85,70.84,23.83,18.08,Sunny
558,27.2,70.56,11.96,16.24,Rainy
559,25.24,65.69,96.01,13.09,Stormy
560,22.16,79.47,291.21,15.82,Cloudy
561,33.47,91.95,204.63,11.72,Rainy
562,33.12,63.51,114.57,9.49,Rainy
563,21.26,79.57,64.31,12.81,Rainy
564,20.01,83.86,7.41,0.43,Stormy
565,22.2,80.3,3.37,8.18,Cloudy
566,27.51,66.82,238.89,6.45,Sunny
567,21.49,65.49,215.82,10.91,Rainy
568,30.06,68.01,260.86,18.54,Rainy
569,30.07,63.14,143.14,9.72,Cloudy
570,23.21,64.2,266.51,11.56,Sunny
571,30.78,88.49,284.63,19.09,Cloudy
572,23.36,84.61,222.74,4.44,Cloudy
573,21.25,74.75,189.94,17.38,Sunny
574,33.22,69.64,297.01,9.94,Stormy
575,30.13,91.76,245.76,0.79,Rainy
576,29.59,69.18,181.02,2.2,Stormy
577,31.25,77.42,235.5,0.42,Rainy
578,31.92,92.66,183.0,10.55,Cloudy
579,20.92,67.74,118.8,11.78,Sunny
580,34.86,78.42,157.26,2.74,Rainy
581,25.92,89.21,7.57,10.02,Rainy
582,24.15,62.2,274.72,13.86,Sunny
583,34.99,79.54,248.26,3.64,Cloudy
584,26.79,81.4,223.86,3.3,Stormy
585,32.74,80.95,294.81,6.79,Rainy
586,27.55,94.29,101.8,18.3,Cloudy
587,26.51,66.31,36.2,13.19,Cloudy
588,33.99,90.26,181.39,2.06,Cloudy
589,29.64,69.84,142.16,12.82,Stormy
590,33.5,86.28,76.82,4.31,Stormy
591,33.43,71.07,11.65,17.16,Cloudy
592,21.26,89.84,190.32,19.4,Rainy
593,28.42,63.88,146.68,12.14,Sunny
594,33.08,86.97,240.17,6.76,Stormy
595,27.31,63.93,129.62,14.2,Cloudy
596,31.98,60.08,286.18,15.88,Cloudy
